"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"1","Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, French Oak Grey/Black","B07FL6D1Z8","https://www.amazon.com/dp/B07FL6D1Z8?psc=1","https://m.media-amazon.com/images/I/716RUsUozWL._AC_SX679_.jpg","Furinno",17.67,45481,803649.27,417,"AMZ",11.26,13,4.5,86910,7,1084,"Amazon","Home & Kitchen","Large Standard-Size","FBA","12.2x3.4x16.3","7.15",2018-07-13
"2","i-aplus Nightstand Set of 2 LED Nightstand with 2 Drawers, Bedside Table with Drawers for Bedroom Furniture, Side Bed Table with LED Light, White…","B0976QDCD7","https://www.amazon.com/dp/B0976QDCD7?psc=1","https://m.media-amazon.com/images/I/71-FwzWQTeS._AC_SY450_.jpg","i-aplus",199,896,178304,43719,"US",82.19,1,4.1,1268,5,33,"A Not Bad Shop","Home & Kitchen","Medium Oversize","MFN","13.8x14.2x23.6","79.36",2021-06-14
"3","Grey Nightstand with Charging Station Small Bedside Night Stand Table with USB Ports and Power Outlets Modern Record Player Stand Table in Bedroom Living Room Farmhouse Office","B0BNKK1YK5","https://www.amazon.com/dp/B0BNKK1YK5?psc=1","https://m.media-amazon.com/images/I/61VycReeaQL._AC_SX466_.jpg","CADUKE",39.99,1639,65543.61,14993,"US",15.25,1,4.4,852,7,222,"CADUKE Direct","Home & Kitchen","Large Standard-Size","FBA","13.4x4.5x17.2","9.50",2022-11-29
"4","WLIVE Nightstand, 2 Drawer Dresser for Bedroom, Small Dresser with 2 Drawers, Bedside Furniture, Night Stand, End Table with Fabric Bins for Bedroom, Closet, Entryway, Nursery, College Dorm, Dark Grey","B07FQ976B5","https://www.amazon.com/dp/B07FQ976B5?psc=1","https://m.media-amazon.com/images/I/81+TPpTJRJL._AC_SY355_.jpg","WLIVE",29.99,16216,486317.84,1454,"CN",18.01,1,4.4,11870,7,400,"WLIVE","Home & Kitchen","Small Oversize","FBA","13.0x3.0x22.6","9.65",2018-07-19
"5","DOMYDEVM Nightstand with Charging Station, End Side Table with USB Ports and Outlets, Industrial Bedside Table with 2 Fabric Storage Drawers for Bedroom Living Room Dorm, Brown","B0B8YC1QLH","https://www.amazon.com/dp/B0B8YC1QLH?psc=1","https://m.media-amazon.com/images/I/71FXBW3mjDL._AC_SX425_.jpg","DOMYDEVM",48.99,948,46442.52,42981,"CN",17.71,1,4.4,154,7,29,"DOMYDEVM HOME","Home & Kitchen","Large Standard-Size","FBA","12.7x5.0x16.5","12.21",2022-08-08
"6","LUCKNOCK NightStand with Fabric Drawer, Bedside Table with Solid Wood Legs, Minimalist and Practical End Side Table with Open Storage Shelf for Bedroom, White.","B0B5CLLP8G","https://www.amazon.com/dp/B0B5CLLP8G?psc=1","https://m.media-amazon.com/images/I/71hqDs3s3kL._AC_SX466_.jpg","LUCKNOCK",45.99,1876,86277.24,17914,"CN",19.54,1,4.6,277,7,39,"LUCKNOCK","Home & Kitchen","Large Standard-Size","MFN","13.2x5.5x16.8","16.67",2022-06-29
"7","KHLJJU End Table with Charging Station, Nightstand with Fabric Drawer, Small Side Table for Small Spaces, Black Bedside Tables with USB Ports and Outlets for Living Room, Bedroom, Office","B0BLBVLVMD","https://www.amazon.com/dp/B0BLBVLVMD?psc=1","https://m.media-amazon.com/images/I/61BWsnkwb-L._AC_SX466_.jpg","KHLJJU",89.99,253,22767.47,24502,"CN",25.79,1,4.2,333,8,145,"bengchijiaju","Home & Kitchen","Large Standard-Size","FBA","13.5x7.2x17.3","18.98",2022-11-03
"8","Furinno Andrey End Table / Side Table / Night Stand / Bedside Table with Bin Drawer, Espresso/Brown","B004UME2PS","https://www.amazon.com/dp/B004UME2PS?psc=1","https://m.media-amazon.com/images/I/610cB5E0v1L._AC_SX466_.jpg","Furinno",16.3,5817,94817.1,3607,"AMZ",17.22,11,4.1,54120,9,427,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.4x3.2x19.9","12.05",2011-03-31
"9","Somdot Nightstand, Bedside Table End Table for Bedroom Nursery Living Room - Removable Fabric Drawer, Open Storage Shelf, Sturdy Steel Frame, Durable Wood Top - Black/Rustic Brown","B09NM5X7SX","https://www.amazon.com/dp/B09NM5X7SX?psc=1","https://m.media-amazon.com/images/I/71sB1VtWzwL._AC_SX679_.jpg","Somdot",28.99,1530,44354.7,24551,"US",13.44,22,4.2,971,7,52,"SOMDOT Home and Beyond","Home & Kitchen","Large Standard-Size","FBA","12.4x3.5x16.5","8.73",2022-01-01
"10","HAYOFAMY 3 Tier End Table Night Stand, Narrow Side Table with Display Shelf, Small Bookcase Bookshelf, Simple Bedside Table Storage Rack for Bedroom, Living Room, Office, Bathroom (White, 3 Tier)","B0BPPR7122","https://www.amazon.com/dp/B0BPPR7122?psc=1","https://m.media-amazon.com/images/I/61NfPhAu-dL._AC_SY450_.jpg","HAYOFAMY",27.68,504,13950.72,63655,"CN",12.44,1,3.6,27,8,6,"HAYOFAMY","Home & Kitchen","Large Standard-Size","FBA","9.8x16.3x3.5","6.33",2022-12-10
