"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"1","Whiteline Modern Living Cory Coffee Table, White/Grey","B0BR8HLNDM","https://www.amazon.com/dp/B0BR8HLNDM?psc=1","https://m.media-amazon.com/images/I/81LEV0EwSpL._AC_SX355_.jpg","Whiteline Modern Living",1528.2,0,0,5183169,"AMZ",340.6,3,NA,0,4,0,"Amazon","Home & Kitchen","Special Oversize","AMZ","44.0x44.0x12.0","113.00",2022-12-28
"2","Furinno Modern Simplistic Criss-Crossed Coffee Table, 35.4 in x 19.6 in x 16 in, French Oak Grey","B08XX3V5DD","https://www.amazon.com/dp/B08XX3V5DD?psc=1","https://m.media-amazon.com/images/I/51mzdHOFD8L._AC_SY450_.jpg","Furinno",26.32,1312,34531.84,9235,"AMZ",22.08,10,3.4,2364,6,54,"Amazon","Home & Kitchen","Small Oversize","FBA","22.1x2.0x37.9","20.55",2021-03-03
"3","Sweetcrispy Coffee Table, Lift Top Coffee Tables for Living Room,Rising Tabletop Wood Dining Center Tables with Storage Shelf and Hidden Compartment","B0C5X64YMX","https://www.amazon.com/dp/B0C5X64YMX?psc=1","https://m.media-amazon.com/images/I/71tc5bm9a3L._AC_SY450_.jpg","Sweetcrispy",69.99,245,17147.55,16368,"AMZ",34.51,2,4.5,73,9,0,"Amazon","Home & Kitchen","Small Oversize","AMZ","18.0x40.0x4.0","35.00",2023-05-22
"4","Furinno Simple Design Coffee Table, Dark Brown","B00IZCW4Q8","https://www.amazon.com/dp/B00IZCW4Q8?psc=1","https://m.media-amazon.com/images/I/51SkB6VtgDL._AC_SY355_.jpg","Furinno",24.11,2070,49907.7,11315,"AMZ",21.33,20,4.1,14425,5,122,"Amazon","Home & Kitchen","Small Oversize","FBA","24.0x2.8x38.0","19.10",2014-03-11
"5","WLIVE Wood Lift Top Coffee Table with Hidden Compartment and Adjustable Storage Shelf, Lift Tabletop Dining Table for Home Living Room, Office, Rustic Oak","B084ZH1LYN","https://www.amazon.com/dp/B084ZH1LYN?psc=1","https://m.media-amazon.com/images/I/81xhCy8yQ6L._AC_SX466_.jpg","WLIVE",99.99,4833,483251.67,5249,"CN",43.63,5,4.3,5087,9,146,"WLIVE","Home & Kitchen","Small Oversize","FBA","21.8x4.5x42.5","45.11",2020-05-29
"6","Yaheetech Lift Top Coffee Table with Hidden Compartment and Storage Shelf, Rising Tabletop Dining Table for Living Room Reception Room, 38.6in L, Black","B09F9BL46G","https://www.amazon.com/dp/B09F9BL46G?psc=1","https://m.media-amazon.com/images/I/51n8I7oB94L._AC_SY450_.jpg","Yaheetech",79.99,5457,436505.43,6606,"US",40.21,1,4.5,13806,9,211,"Yaheetech","Home & Kitchen","Small Oversize","MFN","23.1x4.0x43.7","44.36",2019-12-27
"7","Household Essentials Jamestown Round Coffee Table Ashwood Rustic Wood Grain and Black Metal, 31.5 x 31.5","B01FXOLJBQ","https://www.amazon.com/dp/B01FXOLJBQ?psc=1","https://m.media-amazon.com/images/I/61YqQWWQaFL._AC_SX569_.jpg","Household Essentials",62.5,1649,103062.5,9558,"AMZ",37.25,9,4.5,11944,12,6110,"Amazon","Home & Kitchen","Medium Oversize","AMZ","33.1x2.7x33.3","20.15",NA
"8","SUPER DEAL 2-Tier Industrial Coffee Table with Storage Shelf for Small Apartment Living Room, Rectangle Wood and Stable Metal TV Stand Side End Table, Rustic Brown","B08N4TDMF4","https://www.amazon.com/dp/B08N4TDMF4?psc=1","https://m.media-amazon.com/images/I/71CuUQLcDhL._AC_SX569_.jpg","SUPER DEAL",48.99,1176,57612.24,30687,"CN",58.47,1,4.6,922,7,47,"SuperDealUsa","Home & Kitchen","Medium Oversize","MFN","16.5x20.0x31.5","25.00",2020-11-09
"9","Ameriwood Home Parsons Modern Coffee Table, Black","B005QLJL3K","https://www.amazon.com/dp/B005QLJL3K?psc=1","https://m.media-amazon.com/images/I/81UdbeScHLL._AC_SX425_.jpg","DHP",42.84,775,33201,30022,"AMZ",22.04,1,4.3,5209,8,23,"Amazon","Home & Kitchen","Small Oversize","AMZ","19.8x2.0x47.0","14.94",2011-09-28
"10","Best Choice Products Wooden Mid-Century Modern Coffee Table, Accent Furniture for Living Room, Indoor, Home Décor w/Open Storage Shelf, Wood Grain Finish - White/Brown","B08LHN8CL1","https://www.amazon.com/dp/B08LHN8CL1?psc=1","https://m.media-amazon.com/images/I/71OSGBbTjvL._AC_SX569_.jpg","Best Choice Products",69.99,912,63830.88,47564,"US",33.25,1,4.4,3092,7,32,"BestChoiceproducts","Home & Kitchen","Small Oversize","MFN","22.4x46.4x3.5","31.70",2020-08-19
