"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"1","HOOBRO End Table with Charging Station and USB Ports, 3-Tier Nightstand with Adjustable Shelf, Narrow Side Table for Small Space in Living Room, Bedroom and Balcony, Rustic Brown BF112BZ01","B09X395CNV","https://www.amazon.com/dp/B09X395CNV?psc=1","https://m.media-amazon.com/images/I/71BlC+UiJ8L._AC_SY355_.jpg","HOOBRO",39.99,2157,86258.43,9518,"CN",15.41,4,4.4,365,9,62,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.3x4.1x17.1","9.66",2022-04-02
"2","Furinno Simplistic Set of 2 End Table, Espresso/Black","B00OR1KQQ6","https://www.amazon.com/dp/B00OR1KQQ6?psc=1","https://m.media-amazon.com/images/I/41wraSSgVvL._AC_SX425_.jpg","Furinno",22.53,8296,186908.88,1209,"AMZ",18.57,13,4.3,40235,13,675,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.2x4.0x21.0","13.60",2014-10-22
"3","FURINNO Turn-N-Tube Haydn End Table, 1-Pack, French Oak Grey/Black","B01CP3DSAI","https://www.amazon.com/dp/B01CP3DSAI?psc=1","https://m.media-amazon.com/images/I/61iwhBmJLaL._AC_SY355_.jpg","Furinno",8.82,45497,401283.54,417,"AMZ",13.57,8,4.5,86910,5,1699,"Amazon","Home & Kitchen","Small Oversize","AMZ","14.3x3.2x19.8","6.80",2016-03-08
"4","NauticalMart Aviator 3 Door Sideboard End Table Design Metal Side Table","B07GDNVLDN","https://www.amazon.com/dp/B07GDNVLDN?psc=1","https://m.media-amazon.com/images/I/81xOe0-lI9L._AC_SY355_.jpg","NauticalMart",2250,0,0,4644610,"IN",NA,1,5,1,6,0,"NauticalMart","Home & Kitchen",NA,"MFN",NA,NA,2018-08-13
"5","Yoobure End Table with Charging Station, Flip Top Side Table with USB Ports and Outlets, Sofa Couch Table Bedside Table for Living Room Bedroom, Narrow Nightstand with Storage Shelves for Small Space","B0B93L5WPW","https://www.amazon.com/dp/B0B93L5WPW?psc=1","https://m.media-amazon.com/images/I/7164+J-WIyL._AC_SX466_.jpg","Yoobure",65.99,3210,211827.9,9221,"HK",21.87,2,4.7,611,6,75,"Super A Plus","Home & Kitchen","Large Standard-Size","FBA","13.2x7.1x17.9","17.88",2022-10-12
"6","MNEETRUNG End Table with Charging Station, Industrial Side Table with USB Ports and Outlets, Bedside Tables with Door, 3-Tier Nightstand for Small Spaces, Sturdy, for Living Room, Bedroom, Brown","B0BZVN9VKD","https://www.amazon.com/dp/B0BZVN9VKD?psc=1","https://m.media-amazon.com/images/I/81niy6qejqL._AC_SY450_.jpg","MNEETRUNG",69.99,NA,NA,254575,"CN",22.63,1,4.9,23,7,0,"Mneetrung","Home & Kitchen","Large Standard-Size","FBA","13.7x6.0x17.3","18.04",2023-03-29
"7","HOOBRO End Table, Nightstand with 2-Tier Mesh Shelves, Side Table for Living Room, Bedroom, Industrial, Stable Steel Frame, Easy Assembly, Rustic Brown BF21BZ01","B09MTJLY9N","https://www.amazon.com/dp/B09MTJLY9N?psc=1","https://m.media-amazon.com/images/I/71QIaJYko6L._AC_SX466_.jpg","HOOBRO",25.99,251,6523.49,97091,"CN",12.67,4,4.5,117,8,5,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.5x3.5x17.0","7.74",NA
"8","ALLOSWELL Small Side Table, End Table with Storage Shelf, 14.6 x 10.6 x 19.9 Inches, Nightstand X-Shaped Design, Bedside Table, Steel Frame, Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR2801","B09G2L33ZX","https://www.amazon.com/dp/B09G2L33ZX?psc=1","https://m.media-amazon.com/images/I/717EXLXHa4L._AC_SX425_.jpg","ALLOSWELL",19.99,486,9715.14,24952,"CN",11.93,7,4.3,471,9,27,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","13.2x3.4x17.3","8.38",2022-01-06
"9","Winsome Wood Claire Accent Table, Black","B000NPSGPS","https://www.amazon.com/dp/B000NPSGPS?psc=1","https://m.media-amazon.com/images/I/71fJ0TjspXL._AC_SY355_.jpg","Winsome",35.16,1542,54216.72,19423,"AMZ",23.4,25,4.4,19526,11,83,"Amazon","Home & Kitchen","Small Oversize","FBA","19.4x4.7x23.1","20.05",2000-11-01
"10","CosmoLiving Westerleigh End Table, White","B07KWWB7SZ","https://www.amazon.com/dp/B07KWWB7SZ?psc=1","https://m.media-amazon.com/images/I/81nwpqZXGBL._AC_SY450_.jpg","CosmoLiving by Cosmopolitan",78.12,1114,87025.68,8672,"AMZ",35.72,11,4.2,847,13,14,"Amazon","Home & Kitchen","Small Oversize","AMZ","26.0x6.3x30.0","33.01",NA
