row,product_details,asin,url,color_group,color,dimension,depth_in,width_in,height_in,girth_in
1,"AOJEZOR Round End Tables Living Room,Narrow Night Stands Round Side Table for Bedrooms, Cute Gold Coffee Table,Pedestal Plant Stand for Balcony, Black Tray with 3 Legged Gold Accent Table",B08THDLJ9G,https://www.amazon.com/dp/B08THDLJ9G?psc=1,black/gold,black/gold,"16.9""D x 16.9""W x 18.1""H ",16.9,16.9,18.1,51.9
2,"Frenchi Home Furnishing End Table/Side Table, Espresso Finish",B000FSHE3I,https://www.amazon.com/dp/B000FSHE3I?psc=1,brown,espresso,"23.5""D x 11.5""W x 28""H",23.5,11.5,28,63
3,"BEWISHOME Round End Table Side Table with Metal Frame, Accent Table Nightstand Bedside Table with 3-Tier Shelves, Small Table for Living Room Bedroom Couch Table Small Coffee Table Rustic Brown KTZ41Z",B0B6FZ11BS,https://www.amazon.com/dp/B0B6FZ11BS?psc=1,brown/black,rustic brown/black,"15.35""D x 15.35""W x 23.62""H",15.35,15.35,23.62,54.32
4,"Winsome Wood Claire Accent Table, Black",B000NPSGPS,https://www.amazon.com/dp/B000NPSGPS?psc=1,black,black,"18.11""D x 18.03""W x 22.05""H",18.11,18.03,22.05,58.19
5,"danpinera Side Table, End Table for Small Spaces Accent Metal Bedside Table Round Small End Table, Outdoor Side Table Indoor Snack Table Accent Patio Side Table Anti-Rust and Waterproof Dark Green",B08CC17XXB,https://www.amazon.com/dp/B08CC17XXB?psc=1,other,green,"16.38""D x 16.38""W x 20.28""H",16.38,16.38,20.28,53.04
6,"ChooChoo Narrow Console Table, Chic Accent Sofa Table, Entryway Table, Espresso",B07SYJ189D,https://www.amazon.com/dp/B07SYJ189D?psc=1,brown,espresso,"39.3""D x 11.8""W x 31.4""H",39.3,11.8,31.4,82.5
7,"FORAOFUR Side Table, Small End Table Accent Table Living Room Bedroom Balcony Office, Modern Side Table Bedside Table Home Decor, Easy Assembly",B09TFHLB3J,https://www.amazon.com/dp/B09TFHLB3J?psc=1,white,white,"15.75""D x 12""W x 16.54""H",15.75,12,16.54,44.29
8,"Ameriwood Home Franklin Accent Table 2 Drawers, Black",B06WD4YD17,https://www.amazon.com/dp/B06WD4YD17?psc=1,black,black,"15.63""D x 22""W x 28.25""H",15.63,22,28.25,65.88
9,"Palama Small Side Table for Living Room, Modern Home D√©cor Gold Side Table, Easy Assembly Small Gold Table, Gold Accent Table",B0B699MVP4,https://www.amazon.com/dp/B0B699MVP4?psc=1,clear/gold,clear/gold,"15.75""D x 15.75""W x 21.46""H",15.75,15.75,21.46,52.96
10,"Main + Mesa Cuvee Wood Stool or End Table, White",B09BCXW2GJ,https://www.amazon.com/dp/B09BCXW2GJ?psc=1,white,white,"12""D x 12""W x 18.5""H",12,12,18.5,42.5
11,"Tribesigns End Table Set of 2, Sofa Side Table with Storage No Assembly Required, Slim Nightstand with 2 Drawers, Vintage Wood Chairside Bedside Narrow Accent Tables for Living Room Bedroom Couch",B0BP7H2VNN,https://www.amazon.com/dp/B0BP7H2VNN?psc=1,brown,brown,"23.62""D x 10.83""W x 23.62""H",23.62,10.83,23.62,58.07
12,"Furologee Console Table with 2 Drawers, Industrial Sofa Table, Entryway Table with 3-Tier Storage Shelves, Narrow Accent Table Metal Frame for Living Room/Entryway/Hallway, Rustic Brown",B097DN5MFJ,https://www.amazon.com/dp/B097DN5MFJ?psc=1,brown/black,rustic brown/black,"12""D x 39""W x 31""H",12,39,31,82
13,"Deco 79 Aluminum Drip Accent Table with Melting Designed Legs and Shaded Glass Top, 16"" x 16"" x 24"", Silver",B097QGTZ4J,https://www.amazon.com/dp/B097QGTZ4J?psc=1,silver,silver,"16""D x 16""W x 24.5""H",16,16,24.5,56.5
14,"Christopher Knight Home Jerod Light-Weight Concrete Accent Table, Black",B07F6652WW,https://www.amazon.com/dp/B07F6652WW?psc=1,black,black,"12.5""D x 12.5""W x 18""H",12.5,12.5,18,43
15,"ECOMEX Round End Table,Tall Side Table with Drawer and Shelf, 2 Tier Classic Brown Wood Accent Table Sofa Side Table for Bedroom,Office, Small Spaces, Vintage European Style (Black)",B0B426NX6H,https://www.amazon.com/dp/B0B426NX6H?psc=1,black,black,"20""D x 20""W x 27""H",20,20,27,67
16,"FirsTime & Co. Miles Rustic Table, 22""H x 16""W x 16""D, Natural, Aged Black",B07JQDN3T8,https://www.amazon.com/dp/B07JQDN3T8?psc=1,black,black,"16""D x 16""W x 22""H",16,16,22,54
17,"Yaheetech 3-Tier Console Table for Entryway, 39.5 Inch Entryway Table with Drawer and 2 Storage Shelves, Narrow Wood Accent Table for Entryway/Hallway/Living Room/Foyer, Black",B081KTQF4Q,https://www.amazon.com/dp/B081KTQF4Q?psc=1,black,black,"12""D x 39.5""W x 31.5""H",12,39.5,31.5,83
18,"Gold End Tables Set of 2, Faux Marble Side Table for Living Room, Bedroom or Small Spaces, Small Nightstand with Storage Shelf, Easy Assembly, 2-Pack, Modern Style Accent Table",B0C16QBP8V,https://www.amazon.com/dp/B0C16QBP8V?psc=1,white/gold,white/gold,"15""D x 11""W x 20""H",15,11,20,46
19,"HOOBRO Round Side Table, Round Accent End Table with Sturdy X-Shaped Metal Frame, 15.7"" Round Nightstand, for Living Room, Bedroom, Balcony, Office Rustic Brown BF95BZ01",B09X39XJQJ,https://www.amazon.com/dp/B09X39XJQJ?psc=1,brown/black,rustic brown/black,"15.7""D x 15.7""W x 21.7""H",15.7,15.7,21.7,53.1
20,"ChooChoo Console Table with Drawers, Narrow Wood Accent Sofa Table Entryway Table with Storage Shelf for Entryway, Front Hall, Hallway, Living Room, Black",B09SPQDQ1X,https://www.amazon.com/dp/B09SPQDQ1X?psc=1,black,black,"11.8""D x 39.4""W x 31.5""H",11.8,39.4,31.5,82.7
21,"Decor Therapy Simplify Wood Accent Storage Shelf End Table, 24 x 19.5 x 15.75, Blue Gray",B00JSRCOQE,https://www.amazon.com/dp/B00JSRCOQE?psc=1,other,blue,"18.7""D x 22.44""W x 7.48""H",18.7,22.44,7.48,48.62
22,"ALLOSWELL Small Side Table, End Table with Storage Shelf, 14.6 x 10.6 x 19.9 Inches, Nightstand X-Shaped Design, Bedside Table, Steel Frame, Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR2801",B09G2L33ZX,https://www.amazon.com/dp/B09G2L33ZX?psc=1,brown/black,rustic brown/black,"10.6""D x 14.9""W x 19.9""H",10.6,14.9,19.9,45.4
23,"Apicizon Round Side Table, White Nightstand Coffee End Table for Living Room, Bedroom, Small Spaces, Easy Assembly Modern Home Decor Bedside Table with Natural Wood Legs, 16.5 x 20.5 Inches",B08LYPSDNY,https://www.amazon.com/dp/B08LYPSDNY?psc=1,white,white,"16.5""D x 16.5""W x 20.5""H",16.5,16.5,20.5,53.5
24,"CubiCubi Round End Table, Side Table with Wooden Shelves, 2-Tier Rustic Vintage Table for Living Room Bedroom, Metal Frames and Wooden Boards, Rustic Brown",B08ZS5J8TC,https://www.amazon.com/dp/B08ZS5J8TC?psc=1,brown/black,rustic brown/black,"15.5""D x 15.5""W x 21.5""H",15.5,15.5,21.5,52.5
25,"Furinno Turn-N-Tube End Table, Dark Cherry/Black , 1-Pack",B00DMBU61C,https://www.amazon.com/dp/B00DMBU61C?psc=1,brown/black,brown/black,"13.39""D x 13.4""W x 19.84""H",13.39,13.4,19.84,46.63
26,Frenchi Furniture Magazine Table Finish: White,B006T3R5HI,https://www.amazon.com/dp/B006T3R5HI?psc=1,white,white,"15.17""D x 23.44""W x 21.87""H",15.17,23.44,21.87,60.48
27,"HLR Side Table Round, Small Wood End Table for Living Room, Bedroom and Small Spaces, Modern Nightstand Bedside Table with Easy Assembly Black Legs, Black Top",B0BJJDKP6B,https://www.amazon.com/dp/B0BJJDKP6B?psc=1,black,black,"15.8""D x 15.8""W x 19.5""H",15.8,15.8,19.5,51.1
28,"IOTXY Home Round Coffee Table - 15.7"" Small 2-Tier End Table with Open Storage Shelf, White Wooden Table Top Gold Metal Frame Side Table",B08HZ7CZRX,https://www.amazon.com/dp/B08HZ7CZRX?psc=1,white/gold,white/gold,"15.7""D x 15.7""W x 16.5""H",15.7,15.7,16.5,47.9
29,"Convenience Concepts Oxford Console Table with Shelf, White",B00WGGF466,https://www.amazon.com/dp/B00WGGF466?psc=1,white,white,"11.75""D x 39.5""W x 31.5""H",11.75,39.5,31.5,82.75
30,"Tajsoon Console Table, Industrial entryway Table, Narrow Sofa Table with Shelves,Entrance Table for Entryway, Hallway, Living Room, Foyer, Corridor, Office, Rustic Brown and Black",B0989DQJ9L,https://www.amazon.com/dp/B0989DQJ9L?psc=1,brown/black,rustic brown/black,"11.5""D x 41.8""W x 30.2""H",11.5,41.8,30.2,83.5
31,"Furinno Simple Design End/SideTable, Espresso",B003VP10PK,https://www.amazon.com/dp/B003VP10PK?psc=1,brown,espresso,"20""D x 20""W x 19.61""H",20,20,19.61,59.61
32,"Furinno Andrey End Table / Side Table / Night Stand / Bedside Table with Bin Drawer, Espresso/Brown",B004UME2PS,https://www.amazon.com/dp/B004UME2PS?psc=1,brown,espresso,"15.51""D x 15.51""W x 17.5""H",15.51,15.51,17.5,48.52
