"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"1","Furinno Modern Simplistic Criss-Crossed Coffee Table, 35.4 in x 19.6 in x 16 in, French Oak Grey","B08XX3V5DD","https://www.amazon.com/dp/B08XX3V5DD?psc=1","https://m.media-amazon.com/images/I/51mzdHOFD8L._AC_SY450_.jpg","Furinno",26.32,1312,34531.84,9235,"AMZ",22.08,10,3.4,2364,6,54,"Amazon","Home & Kitchen","Small Oversize","FBA","22.1x2.0x37.9","20.55",2021-03-03
"2","Yaheetech Lift Top Coffee Table with Hidden Compartment and Storage Shelf, Rising Tabletop Dining Table for Living Room Reception Room, 38.6in L, Rustic Brown","B07ZFNN72Z","https://www.amazon.com/dp/B07ZFNN72Z?psc=1","https://m.media-amazon.com/images/I/61HsodbliBL._AC_SX679_.jpg","Yaheetech",69.99,5509,385574.91,6606,"US",39.54,2,4.5,13806,9,211,"Yaheetech","Home & Kitchen","Small Oversize","MFN","22.8x3.9x44.1","46.53",2019-10-22
"3","Furinno Simple Design Coffee Table, Espresso","B003VOZE6M","https://www.amazon.com/dp/B003VOZE6M?psc=1","https://m.media-amazon.com/images/I/51FwiT03ZOL._AC_SX466_.jpg","Furinno",29.44,2069,60911.36,11315,"AMZ",17.71,9,4.1,14425,7,190,"Amazon","Home & Kitchen","Small Oversize","AMZ","24.0x2.8x38.5","19.35",2011-08-19
"4","Furinno JAYA Simple Design Oval Coffee Table, Walnut","B01FX5CMKC","https://www.amazon.com/dp/B01FX5CMKC?psc=1","https://m.media-amazon.com/images/I/61MqCAi-l7L._AC_SX569_.jpg","Furinno",33.8,NA,NA,75786,"AMZ",25.72,14,3.7,2884,6,1107,"Amazon","Home & Kitchen","Small Oversize","AMZ","21.7x2.9x38.2","26.24",2016-05-19
"5","SAYGOER Coffee Table Small Square Modern Coffee Tables for Small Spaces Simple Farmhouse Low Center Table for Living Room Home Office, Rustic Wooden Top with Metal Frames, Easy Assembly, Grey Wooden","B09HBQFVFJ","https://www.amazon.com/dp/B09HBQFVFJ?psc=1","https://m.media-amazon.com/images/I/91YAxBJFkXL._AC_SX569_.jpg","SAYGOER",79.95,347,27742.65,91081,"CN",30.12,1,4.6,636,7,9,"SAYGOER DIRECT","Home & Kitchen","Small Oversize","FBA","28.0x3.0x31.0","20.55",2021-09-28
"6","FDW Lift Top Coffee Table with Hidden Compartment and Storage Shelf Wooden Lift Tabletop for Home Living Room Reception Room Office (Brown)","B08W8NJGNX","https://www.amazon.com/dp/B08W8NJGNX?psc=1","https://m.media-amazon.com/images/I/71QOZKHT7WL._AC_SY355_.jpg","FDW",40.99,2303,94399.97,15424,"US",39.82,1,4.2,1522,7,106,"Cavalier Store","Home & Kitchen","Small Oversize","MFN","24.0x43.0x5.0","58.00",2021-02-09
"7","Ameriwood Home Parsons Modern Coffee Table, Black","B005QLJL3K","https://www.amazon.com/dp/B005QLJL3K?psc=1","https://m.media-amazon.com/images/I/81UdbeScHLL._AC_SX425_.jpg","DHP",42.84,775,33201,30022,"AMZ",22.04,1,4.3,5209,8,23,"Amazon","Home & Kitchen","Small Oversize","AMZ","19.8x2.0x47.0","14.94",2011-09-28
"8","ChooChoo Mission Coffee Table, Black Wood Living Room Table with Shelf, 40 Black","B07T24P7MP","https://www.amazon.com/dp/B07T24P7MP?psc=1","https://m.media-amazon.com/images/I/71eymqAE8sL._AC_SX466_.jpg","ChooChoo",109.99,737,81062.63,37566,"CN",28.68,1,4.4,1140,6,32,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","25.1x5.0x44.0","41.76",2019-06-12
"9","ChooChoo Oxford Coffee Table with Thicker Legs, Black Wood Coffee Table with Storage for Living Room","B07T238M73","https://www.amazon.com/dp/B07T238M73?psc=1","https://m.media-amazon.com/images/I/71rIs5b2PfS._AC_SX466_.jpg","ChooChoo",109.99,537,59064.63,54432,"CN",43.45,7,4.4,1094,7,30,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","24.0x5.0x43.5","42.51",2019-06-12
"10","NOBLEWELL Coffee Table Lift Top with Storage Compartment and Separated Open Shelves, Pop Up Coffee Table for Living Room, 39.4in L, Vintage Brown","B0922FNFBK","https://www.amazon.com/dp/B0922FNFBK?psc=1","https://m.media-amazon.com/images/I/715ZWgqT1hL._AC_SX569_.jpg","NOBLEWELL",109.99,359,39486.41,33147,"CN",46.39,12,4.3,1041,8,28,"NOBLEWELL Direct","Home & Kitchen","Small Oversize","FBA","23.1x5.0x42.1","48.11",2021-07-01
"11","WLIVE Lift Top Coffee Table with Storage for Living Room,Small Hidden Compartment and Adjustable Shelf,Mid Century, Modern ,Wood,Grey","B09X17XQXL","https://www.amazon.com/dp/B09X17XQXL?psc=1","https://m.media-amazon.com/images/I/71sNZGBBMML._AC_SX425_.jpg","WLIVE",99.99,4833,483251.67,5249,"CN",39.43,3,4.3,5087,7,145,"WLIVE","Home & Kitchen","Small Oversize","FBA","21.7x4.3x43.1","47.11",2021-06-17
"12","Living Room Rectangle Coffee Table, Tea Table Suitable for Waiting Room, Modern Side Coffee Table with Wooden Leg, Glass Tabletop with Lower Shelf, White","B09JZ2QJSJ","https://www.amazon.com/dp/B09JZ2QJSJ?psc=1","https://m.media-amazon.com/images/I/71ielDQgBaL._AC_SY355_.jpg","Btrpily",112.99,269,30394.31,91050,"CN",44.74,1,4.7,132,6,5,"YOUCHOOSE DIRECT","Home & Kitchen","Small Oversize","FBA","23.5x6.3x41.5","39.31",2021-10-21
"13","aboxoo Coffee Table Nesting White Set of 2 Side Set Golden Frame Circular and Marble Pattern Wooden Tables, Living Room Bedroom Apartment Modern Industrial Simple Nightstand","B09G2ZQFHP","https://www.amazon.com/dp/B09G2ZQFHP?psc=1","https://m.media-amazon.com/images/I/71k8NdCLtlL._AC_SY450_.jpg","aboxoo",74.99,1058,79339.42,36313,"CN",27.7,4,4.3,1150,9,56,"callalily","Home & Kitchen","Small Oversize","FBA","25.8x3.5x25.8","15.20",2021-09-13
"14","AWQM GJ08 Marble Coffee Table, 39.3 in, White and Black","B0932TS5H5","https://www.amazon.com/dp/B0932TS5H5?psc=1","https://m.media-amazon.com/images/I/81TlzOCs+9L._AC_SX569_.jpg","AWQM",84,484,40656,79475,"AMZ",33.25,7,4.3,525,7,24,"Amazon","Home & Kitchen","Small Oversize","FBA","23.3x2.8x42.3","26.40",2021-04-21
