"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"1","Winsome Eugene Table, White","B0046EC0HW","https://www.amazon.com/dp/B0046EC0HW?psc=1","https://m.media-amazon.com/images/I/61JveBx0KBL._AC_SX569_.jpg","Winsome",41.21,2923,120456.83,5308,"AMZ",23.89,18,4.1,24330,11,76,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.9x4.3x26.6","19.35",2003-10-02
"2","CosmoLiving Westerleigh End Table, White","B07KWWB7SZ","https://www.amazon.com/dp/B07KWWB7SZ?psc=1","https://m.media-amazon.com/images/I/81nwpqZXGBL._AC_SY450_.jpg","CosmoLiving by Cosmopolitan",78.12,1114,87025.68,8672,"AMZ",35.72,11,4.2,847,13,14,"Amazon","Home & Kitchen","Small Oversize","AMZ","26.0x6.3x30.0","33.01",NA
"3","KHLJJU End Table with Charging Station, Nightstand with Fabric Drawer, Small Side Table for Small Spaces, Black Bedside Tables with USB Ports and Outlets for Living Room, Bedroom, Office","B0BLBVLVMD","https://www.amazon.com/dp/B0BLBVLVMD?psc=1","https://m.media-amazon.com/images/I/61BWsnkwb-L._AC_SX466_.jpg","KHLJJU",89.99,253,22767.47,24502,"CN",25.79,1,4.2,333,8,145,"bengchijiaju","Home & Kitchen","Large Standard-Size","FBA","13.5x7.2x17.3","18.98",2022-11-03
"4","Yoobure Nightstand with Charging Station, Small Night Stand with Fabric Drawers and Storage Shelf for Bedrooms, Nightstands for Small Spaces, Bedside Table with USB Ports & Outlets, Bed Side Table","B0BS98NNCN","https://www.amazon.com/dp/B0BS98NNCN?psc=1","https://m.media-amazon.com/images/I/715PdwI7WzL._AC_SY355_.jpg","Yoobure",52.99,NA,NA,12668,"CN",18.8,2,4,10,7,5,"Yoobure Direct","Home & Kitchen","Large Standard-Size","FBA","13.2x7.4x17.9","14.05",2023-05-18
"5","Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, Americano/Black","B07HG5Q8TP","https://www.amazon.com/dp/B07HG5Q8TP?psc=1","https://m.media-amazon.com/images/I/61vmuh8x7-L._AC_SX569_.jpg","Furinno",17.97,45284,813753.48,417,"AMZ",11.31,20,4.5,86910,5,1087,"Amazon","Home & Kitchen","Large Standard-Size","AMZ","12.2x3.3x16.1","7.22",2018-09-18
"6","SUPERJARE Nightstand with Charging Station, Bed Side Table with Adjustable Fabric Drawer, Night Stand for Bedroom, 3-Tier Storage End Table, Fabric Drawer Dresser, for Living Room - Vintage Brown","B0BDFRN629","https://www.amazon.com/dp/B0BDFRN629?psc=1","https://m.media-amazon.com/images/I/81e2pGD1LlL._AC_SX425_.jpg","SUPERJARE",49.99,3303,165116.97,9608,"US",17.71,4,4.4,342,9,50,"Superjare Direct","Home & Kitchen","Large Standard-Size","FBA","13.4x5.2x17.4","13.07",2022-09-07
"7","Somdot Nightstand with 2 Drawers, Bedside Table Small Dresser with Removable Fabric Bins for Bedroom Nursery Closet Living Room - Sturdy Steel Frame, Wood Top, Pull Handle - Black/Rustic Brown","B087C39L4L","https://www.amazon.com/dp/B087C39L4L?psc=1","https://m.media-amazon.com/images/I/71Qad5+KXxL._AC_SY450_.jpg","Somdot",30.99,1413,43788.87,11907,"US",13.74,8,3.9,2427,8,110,"SOMDOT Home and Beyond","Home & Kitchen","Large Standard-Size","FBA","12.5x3.3x17.3","8.64",2019-09-24
"8","LUCKNOCK NightStand with Fabric Drawer, Bedside Table with Solid Wood Legs, Minimalist and Practical End Side Table with Open Storage Shelf for Bedroom, White.","B0B5CLLP8G","https://www.amazon.com/dp/B0B5CLLP8G?psc=1","https://m.media-amazon.com/images/I/71hqDs3s3kL._AC_SX466_.jpg","LUCKNOCK",45.99,1876,86277.24,17914,"CN",19.54,1,4.6,277,7,39,"LUCKNOCK","Home & Kitchen","Large Standard-Size","MFN","13.2x5.5x16.8","16.67",2022-06-29
"9","LDTTCUK Nightstand with Charging Station, Modern End Table with Drawer, Bedside Table with Open Storage for Bedroom, Grey","B0BR51D7TM","https://www.amazon.com/dp/B0BR51D7TM?psc=1","https://m.media-amazon.com/images/I/71REmTF8ETL._AC_SX466_.jpg","LDTTCUK",79.99,2113,169018.87,13462,"CN",24.29,1,4.4,585,7,55,"yiboshangmao123","Home & Kitchen","Large Standard-Size","FBA","13.5x6.7x17.5","18.74",2022-12-27
"10","CubiCubi Side Table with Storage Compartment, Small End Table, Rustic File Cabinet, Cable Management, Nightstand Living Room Bedroom, White","B0915N5FPP","https://www.amazon.com/dp/B0915N5FPP?psc=1","https://m.media-amazon.com/images/I/613UQ3M7-HL._AC_SX679_.jpg","CubiCubi",39.99,222,8877.78,103062,"CN",18.45,3,4.4,343,8,4,"Tespo Store","Home & Kitchen","Large Standard-Size","FBA","13.4x6.0x17.3","18.92",2021-03-26
"11","VECELO Modern Versatile Nightstands X-Design Side End Table Night Stand Storage Shelf with Bin Drawer for Living Room Bedroom, Set of 2 (Brown)","B08C2VZZP7","https://www.amazon.com/dp/B08C2VZZP7?psc=1","https://m.media-amazon.com/images/I/71yCupVeALL._AC_SY450_.jpg","VECELO",63.83,2295,146489.85,10289,"AMZ",33.15,6,4.3,7418,7,137,"Amazon","Home & Kitchen","Small Oversize","AMZ","13.8x8.5x25.2","33.76",NA
