"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"1","BUYT Portable End Table Mobile Folding Table Overbed Table with Castors for Bedroom, Living Room, Sofa Multifunctional and Practical Wheels Side Table (Color : Blue)","B08MBQTM9R","https://www.amazon.com/dp/B08MBQTM9R?psc=1","https://m.media-amazon.com/images/I/51U7hMnAGJL._AC_SX679_.jpg","BUYT",669.75,NA,NA,NA,"CN",NA,1,NA,0,NA,0,"junboyaojianshe","Home & Kitchen",NA,"MFN",NA,NA,2020-10-31
"2","Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, French Oak Grey/Black","B07FL6D1Z8","https://www.amazon.com/dp/B07FL6D1Z8?psc=1","https://m.media-amazon.com/images/I/716RUsUozWL._AC_SX679_.jpg","Furinno",17.67,45481,803649.27,417,"AMZ",11.26,13,4.5,86910,7,1084,"Amazon","Home & Kitchen","Large Standard-Size","FBA","12.2x3.4x16.3","7.15",2018-07-13
"3","FORAOFUR Side Table, Small End Table Accent Table Living Room Bedroom Balcony Office, Modern Side Table Bedside Table Home Decor, Easy Assembly","B09TFHLB3J","https://www.amazon.com/dp/B09TFHLB3J?psc=1","https://m.media-amazon.com/images/I/51UCaA8FFXL._AC_SX425_.jpg","FORAOFUR",23.39,1844,43131.16,12050,"CN",11.32,1,4.6,413,7,36,"HAITE HOME","Home & Kitchen","Large Standard-Size","FBA","13.3x2.8x17.2","4.59",2022-02-25
"4","HOOBRO Nightstand with Charging Station and USB Ports, 3-Tier End Table with Adjustable Shelves, Side Table for Small Space Living Room, Bedroom and Balcony, Modern Style, Gold and White DW112BZ01G1","B0BTBVGMN4","https://www.amazon.com/dp/B0BTBVGMN4?psc=1","https://m.media-amazon.com/images/I/61AdcQTm82L._AC_SX679_.jpg","HOOBRO",45.99,NA,NA,9518,"CN",16.3,1,4.4,365,9,59,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.4x4.0x17.1","9.97",2023-01-30
"5","ALLOSWELL Small Side Table, End Table with Storage Shelf, 14.6 x 10.6 x 19.9 Inches, Nightstand X-Shaped Design, Bedside Table, Steel Frame, Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR2801","B09G2L33ZX","https://www.amazon.com/dp/B09G2L33ZX?psc=1","https://m.media-amazon.com/images/I/717EXLXHa4L._AC_SX425_.jpg","ALLOSWELL",19.99,486,9715.14,24952,"CN",11.93,7,4.3,471,9,27,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","13.2x3.4x17.3","8.38",2022-01-06
"6","Yoobure C Shaped End Table, Side Table for Couch and Bed, Small Side Table for Small Spaces, Living Room, Bedroom, Rustic Snack Table","B09QC6QN7D","https://www.amazon.com/dp/B09QC6QN7D?psc=1","https://m.media-amazon.com/images/I/511ysW9DwML._AC_SX679_.jpg","Yoobure",35.99,1965,70720.35,17498,"HK",14.17,15,4.5,957,7,70,"Super A Plus","Home & Kitchen","Large Standard-Size","FBA","12.3x3.0x17.6","7.78",2022-04-24
"7","Furinno Simple Design End/SideTable, Espresso","B003VP10PK","https://www.amazon.com/dp/B003VP10PK?psc=1","https://m.media-amazon.com/images/I/51s0FECr-BL._AC_SY355_.jpg","Furinno",10.24,1653,16926.72,4026,"AMZ",15.89,7,4.4,10488,9,83,"Amazon","Home & Kitchen","Small Oversize","AMZ","22.0x2.1x22.7","11.90",2011-08-23
"8","VASAGLE Small Round Side End Table, Modern Nightstand with Fabric Basket, White + Beige","B0BBTN7F4Q","https://www.amazon.com/dp/B0BBTN7F4Q?psc=1","https://m.media-amazon.com/images/I/71PfQeVSYKL._AC_SX569_.jpg","VASAGLE",42.99,3564,153216.36,9428,"AMZ",20.8,9,4.6,116,9,31,"Amazon","Home & Kitchen","Small Oversize","AMZ","20.1x3.8x21.5","10.05",2022-08-25
"9","ALLOSWELL End Table, Side Table with Storage Shelf, Nightstand for Small Spaces, Bedside Table, for Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR5001","B09G2G448L","https://www.amazon.com/dp/B09G2G448L?psc=1","https://m.media-amazon.com/images/I/61PiWODKD+L._AC_SY450_.jpg","ALLOSWELL",21.99,580,12754.2,36851,"CN",12.07,1,4.3,450,9,13,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","12.9x3.4x17.2","7.76",2022-01-06
"10","Apicizon 2 Tier End Table, Boho Side Table with Storage Shelf, Nightstand Bedside Table for Small Spaces, Bedroom, Living Room, Entryway, Farmhouse, Easy Assembly, White+Natural","B09TR7ZNMP","https://www.amazon.com/dp/B09TR7ZNMP?psc=1","https://m.media-amazon.com/images/I/81zsVDZNspL._AC_SY450_.jpg","Apicizon",28.99,470,13625.3,70686,"CN",14.11,1,4.5,115,7,10,"APICIZONHOME","Home & Kitchen","Large Standard-Size","FBA","12.8x2.8x17.1","7.54",2021-10-26
