"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"1","ALLOSWELL Console Table with Power Outlet, 63"" Narrow Sofa Table, Industrial Entryway Table with USB Ports, Behind Couch Table for Entryway, Hallway, Foyer, Living Room, Bedroom CTHR16E01","B09XMKSNST","https://www.amazon.com/dp/B09XMKSNST?psc=1","https://m.media-amazon.com/images/I/61oYUWe-3xL._AC_SX522_.jpg","ALLOSWELL",59.99,491,29455.09,80192,"CN",26.71,2,4.6,359,8,29,"ALLOSWELL","Home & Kitchen","Small Oversize","FBA","10.0x4.8x36.5","19.95",2022-05-01
"2","VASAGLE C-Shaped End Table, Small Side Table for Couch, Sofa Table with Metal Frame for Living Room, Bedroom, Bedside, Rustic Brown and Black","B08VDQN8H5","https://www.amazon.com/dp/B08VDQN8H5?psc=1","https://m.media-amazon.com/images/I/51r6RyMQCLL._AC_SX679_.jpg","VASAGLE",39.99,2913,116490.87,6224,"US",16.23,3,4.7,2189,8,95,"Songmics Direct","Home & Kitchen","Large Standard-Size","FBA","13.0x3.1x17.2","9.08",2021-06-23
"3","Tajsoon Console Table, Industrial entryway Table, Narrow Sofa Table with Shelves,Entrance Table for Entryway, Hallway, Living Room, Foyer, Corridor, Office, Rustic Brown and Black","B0989DQJ9L","https://www.amazon.com/dp/B0989DQJ9L?psc=1","https://m.media-amazon.com/images/I/814rUarzH8L._AC_SY450_.jpg","Tajsoon",59.99,2608,156453.92,14121,"CN",19.85,1,4.5,1195,7,77,"tajsoon","Home & Kitchen","Large Standard-Size","FBA","12.4x4.0x16.8","14.22",2021-06-30
"4","Convenience Concepts Oxford 1 Drawer Console Table with Shelves, Black","B074SWDBSX","https://www.amazon.com/dp/B074SWDBSX?psc=1","https://m.media-amazon.com/images/I/71ovWHgEu7L._AC_SX679_.jpg","Convenience Concepts",93.33,1410,131595.3,22029,"AMZ",41.37,20,4.5,9323,10,66,"Amazon","Home & Kitchen","Small Oversize","AMZ","14.3x7.0x42.5","42.91",2017-08-14
"5","AMHANCIBLE C Shaped End Table Set of 2, Side Tables for Sofa, Couch Table Snack Side Table for Living Room Bedroom, Metal Frame, Acent, Rustic Brown HET02CBR","B09FXZTLX2","https://www.amazon.com/dp/B09FXZTLX2?psc=1","https://m.media-amazon.com/images/I/61dcs4Q+m0L._AC_SY355_.jpg","AMHANCIBLE",55.99,1459,81689.41,11501,"CN",19.09,6,4.5,752,7,33,"Amhancible","Home & Kitchen","Large Standard-Size","FBA","12.9x6.5x16.7","13.93",2021-12-06
"6","SUPERJARE 70 Inch Console Table, Sofa Tables Narrow Long, Behind Couch Table Skinny, Hallway Table for Entryway, Entrance Tables for Front Door, Living Room - Vintage Brown","B0BMDNBYTW","https://www.amazon.com/dp/B0BMDNBYTW?psc=1","https://m.media-amazon.com/images/I/61i4KTdClBL._AC_SX355_.jpg","SUPERJARE",49.99,431,21545.69,61259,"US",26.2,1,4.4,55,7,-176,"Superjare Direct","Home & Kitchen","Small Oversize","FBA","10.8x3.8x39.0","19.30",2023-02-19
"7","MAHANCRIS 55"" Sofa Table, Industrial Console Table, 3-Tier Narrow Side Table with Open Shelves, Foyer Table for Entryway, Hallway, Kitchen, Living Room and Bedroom, Rustic Brown CTHR80401","B0BKFH339Q","https://www.amazon.com/dp/B0BKFH339Q?psc=1","https://m.media-amazon.com/images/I/71PfjddNqvL._AC_SX522_.jpg","MAHANCRIS",99.99,179,17898.21,186980,"CN",41.53,1,5,3,9,0,"ALLOSWELL","Home & Kitchen","Small Oversize","FBA","11.8x6.8x34.0","40.16",2023-03-30
"8","Walker Edison Sedalia Modern Farmhouse Metal X Entry Table, 46 Inch, Grey","B07H36DX4P","https://www.amazon.com/dp/B07H36DX4P?psc=1","https://m.media-amazon.com/images/I/612-YZ+KD2L._AC_SX679_.jpg","Walker Edison",110.82,1144,126778.08,26659,"AMZ",NA,3,4.6,8117,6,30,"Amazon","Home & Kitchen","Small Oversize","AMZ","15.0x5.4x50.2","40.81",NA
"9","Ahvqevn Console Table, 51"" Entryway Table with Storage Shelves Narrow Long Sofa Table TV Console Table for Living Room Entryway, Industric Brown","B09P4VTN1R","https://www.amazon.com/dp/B09P4VTN1R?psc=1","https://m.media-amazon.com/images/I/71KB8W9JYRL._AC_SX425_.jpg","Ahvqevn",99.99,48,4799.52,222194,"CN",43.78,1,4.9,22,7,2,"Ahvqevn","Home & Kitchen","Small Oversize","MFN","16.0x6.0x54.5","43.06",2022-06-05
"10","VECELO Multipurpose Console, Narrow Sofa 2-Tier Rustic Hallway Table with Storage Shelves for Entryway/Living Room,Easy Assembly, 41.3 in x 14 in x 29.9 in (L x W x H), Brown","B07L3MSKLZ","https://www.amazon.com/dp/B07L3MSKLZ?psc=1","https://m.media-amazon.com/images/I/718kiMx0eyL._AC_SY450_.jpg","VECELO",54.99,29,1594.71,676228,"AMZ",29.83,3,4.6,660,7,16,"Amazon","Home & Kitchen","Small Oversize","MFN","18.0x3.5x46.0","30.10",NA
