"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"($) VASAGLE Side Tables Set of 2, Small End Table, Nightstand for Living Room, Bedroom, Office, Bathroom, Rustic Brown and Black ULET272B01","B08JTWKY2H","https://www.amazon.com/dp/B08JTWKY2H?psc=1","https://m.media-amazon.com/images/I/71IC6DrTPOL._AC_SX569_.jpg","VASAGLE",59.99,"1,414","84,825.86","29,814","US",21.13,15,4.5,"3,990",9,64,"Songmics Direct","Home & Kitchen","Large Standard-Size","FBA","13.7x7.0x17.4",18.25,"3/17/2021"
"($) TILLMAO End Table with Charging Station,Narrow Side Table with Storage&2 USB Ports&2 Power Outlets,Flip Top Bedside Table/Night Stand/Sofa Side Table for Small Spaces,Living Room,Bedroom","B09XGRKCKH","https://www.amazon.com/dp/B09XGRKCKH?psc=1","https://m.media-amazon.com/images/I/71rsb5uUC4L._AC_SX466_.jpg","TILLMAO",49.99,203,"10,147.97","93,507","CN",18.82,1,4.7,144,7,3,"Weili-TECH","Home & Kitchen","Large Standard-Size","FBA","14.0x6.6x17.0",15.56,"7/31/2022"
"($) Ecoprsio Nightstand Set of 2 with Charging Station, End Table Bedside Table with USB Ports, Modern Nightstands with Drawers Storage Shelf, Wood Night Stands for Bedroom, Living Room, Sofa Couch, Gray","B09FS5GVWQ","https://www.amazon.com/dp/B09FS5GVWQ?psc=1","https://m.media-amazon.com/images/I/81pjUHBPdpL._AC_SY450_.jpg","Ecoprsio",149.99,"2,062","309,279.38","14,196","CN",48.19,14,4.4,"1,406",8,93,"Ecoprsio Store","Home & Kitchen","Small Oversize","FBA","18.5x6.0x25.5",38.81,"1/13/2022"
"($) TOPSKY Electric Height Adjustable Overbed Bedside Table with Wheels for Home Office Use (White + White Frame)","B0BC7NN31H","https://www.amazon.com/dp/B0BC7NN31H?psc=1","https://m.media-amazon.com/images/I/51zIeEX0DTL._AC_SX425_.jpg","TOPSKY",199.99,224,"44,797.76","73,421","CN",57.37,1,4.9,39,8,5,"Topskyfurniture-US","Health & Household","Small Oversize","FBA","19.6x8.8x34.7",41.11,"8/29/2022"
"Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, French Oak Grey/Black","B07FL6D1Z8","https://www.amazon.com/dp/B07FL6D1Z8?psc=1","https://m.media-amazon.com/images/I/716RUsUozWL._AC_SX679_.jpg","Furinno",17.67,"45,481","803,649.27",417,"AMZ",11.26,13,4.5,"86,910",7,"1,084","Amazon","Home & Kitchen","Large Standard-Size","FBA","12.2x3.4x16.3",7.15,"7/13/2018"
"i-aplus Nightstand Set of 2 LED Nightstand with 2 Drawers, Bedside Table with Drawers for Bedroom Furniture, Side Bed Table with LED Light, White…","B0976QDCD7","https://www.amazon.com/dp/B0976QDCD7?psc=1","https://m.media-amazon.com/images/I/71-FwzWQTeS._AC_SY450_.jpg","i-aplus",199.00,896,"178,304.00","43,719","US",82.19,1,4.1,"1,268",5,33,"A Not Bad Shop","Home & Kitchen","Medium Oversize","MFN","13.8x14.2x23.6",79.36,"6/14/2021"
"Grey Nightstand with Charging Station Small Bedside Night Stand Table with USB Ports and Power Outlets Modern Record Player Stand Table in Bedroom Living Room Farmhouse Office","B0BNKK1YK5","https://www.amazon.com/dp/B0BNKK1YK5?psc=1","https://m.media-amazon.com/images/I/61VycReeaQL._AC_SX466_.jpg","CADUKE",39.99,"1,639","65,543.61","14,993","US",15.25,1,4.4,852,7,222,"CADUKE Direct","Home & Kitchen","Large Standard-Size","FBA","13.4x4.5x17.2",9.50,"11/29/2022"
"WLIVE Nightstand, 2 Drawer Dresser for Bedroom, Small Dresser with 2 Drawers, Bedside Furniture, Night Stand, End Table with Fabric Bins for Bedroom, Closet, Entryway, Nursery, College Dorm, Dark Grey","B07FQ976B5","https://www.amazon.com/dp/B07FQ976B5?psc=1","https://m.media-amazon.com/images/I/81+TPpTJRJL._AC_SY355_.jpg","WLIVE",29.99,"16,216","486,317.84","1,454","CN",18.01,1,4.4,"11,870",7,400,"WLIVE","Home & Kitchen","Small Oversize","FBA","13.0x3.0x22.6",9.65,"7/19/2018"
"DOMYDEVM Nightstand with Charging Station, End Side Table with USB Ports and Outlets, Industrial Bedside Table with 2 Fabric Storage Drawers for Bedroom Living Room Dorm, Brown","B0B8YC1QLH","https://www.amazon.com/dp/B0B8YC1QLH?psc=1","https://m.media-amazon.com/images/I/71FXBW3mjDL._AC_SX425_.jpg","DOMYDEVM",48.99,948,"46,442.52","42,981","CN",17.71,1,4.4,154,7,29,"DOMYDEVM HOME","Home & Kitchen","Large Standard-Size","FBA","12.7x5.0x16.5",12.21,"8/8/2022"
"LUCKNOCK NightStand with Fabric Drawer, Bedside Table with Solid Wood Legs, Minimalist and Practical End Side Table with Open Storage Shelf for Bedroom, White.","B0B5CLLP8G","https://www.amazon.com/dp/B0B5CLLP8G?psc=1","https://m.media-amazon.com/images/I/71hqDs3s3kL._AC_SX466_.jpg","LUCKNOCK",45.99,"1,876","86,277.24","17,914","CN",19.54,1,4.6,277,7,39,"LUCKNOCK","Home & Kitchen","Large Standard-Size","MFN","13.2x5.5x16.8",16.67,"6/29/2022"
"($) VASAGLE Side Table, Small End Table, Tall Nightstand for Living Room, Bedroom, Office, Bathroom, Rustic Brown and Black ULET273B01","B08JV2MTWZ","https://www.amazon.com/dp/B08JV2MTWZ?psc=1","https://m.media-amazon.com/images/I/71+auQYNfzS._AC_SX679_.jpg","VASAGLE",39.99,"2,997","119,850.03","12,100","US",16.21,15,4.6,"2,675",8,66,"Songmics Direct","Home & Kitchen","Large Standard-Size","FBA","13.6x5.9x17.0",12.41,"3/17/2021"
"($) KHLJJU End Table with Charging Station, Nightstand with Fabric Drawer, Small Side Table for Small Spaces, Vintage Bedside Tables with USB Ports and Outlets for Living Room, Bedroom, Office","B0BLBV9ZJM","https://www.amazon.com/dp/B0BLBV9ZJM?psc=1","https://m.media-amazon.com/images/I/815a6m+rKeL._AC_SX466_.jpg","KHLJJU",89.99,257,"23,127.43","24,502","CN",25.95,1,4.2,333,8,145,"bengchijiaju","Home & Kitchen","Large Standard-Size","FBA","13.6x7.2x17.5",19.31,"11/3/2022"
"($) Furologee Nightstand with 2 Fabric Drawers, Bedside Table, End Table with Open Wood Shelf, Side Sofa Table with 2 Hooks for Bedroom/Living Room/Study/Halway/Rustic Brown","B0BG7GKHK9","https://www.amazon.com/dp/B0BG7GKHK9?psc=1","https://m.media-amazon.com/images/I/71skjvum-0L._AC_SY450_.jpg","Furologee",38.89,"1,168","45,423.52","23,490","CN",15.72,1,4.0,184,9,70,"Engriy Store","Home & Kitchen","Large Standard-Size","FBA","13.0x4.0x17.0",11.44,"9/23/2022"
"($) Y&M Nightstand, 1PC 2-Tier Side Table with Drawer, Modern Bedside Table Night Stand Storage Shelf for Small Spaces, Bedroom, Living Room, Wooden Accent Table with Metal Frame - Gray and Black","B0BK48587S","https://www.amazon.com/dp/B0BK48587S?psc=1","https://m.media-amazon.com/images/I/61z13vo8USL._AC_SX466_.jpg","Y&M",49.99,25,"1,249.75","383,233","CN",19.19,1,4.0,67,6,1,"Sparrow US","Home & Kitchen","Large Standard-Size","FBA","13.4x5.6x17.8",17.57,"12/4/2022"
"KHLJJU End Table with Charging Station, Nightstand with Fabric Drawer, Small Side Table for Small Spaces, Black Bedside Tables with USB Ports and Outlets for Living Room, Bedroom, Office","B0BLBVLVMD","https://www.amazon.com/dp/B0BLBVLVMD?psc=1","https://m.media-amazon.com/images/I/61BWsnkwb-L._AC_SX466_.jpg","KHLJJU",89.99,253,"22,767.47","24,502","CN",25.79,1,4.2,333,8,145,"bengchijiaju","Home & Kitchen","Large Standard-Size","FBA","13.5x7.2x17.3",18.98,"11/3/2022"
"Furinno Andrey End Table / Side Table / Night Stand / Bedside Table with Bin Drawer, Espresso/Brown","B004UME2PS","https://www.amazon.com/dp/B004UME2PS?psc=1","https://m.media-amazon.com/images/I/610cB5E0v1L._AC_SX466_.jpg","Furinno",16.30,"5,817","94,817.10","3,607","AMZ",17.22,11,4.1,"54,120",9,427,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.4x3.2x19.9",12.05,"3/31/2011"
"Somdot Nightstand, Bedside Table End Table for Bedroom Nursery Living Room - Removable Fabric Drawer, Open Storage Shelf, Sturdy Steel Frame, Durable Wood Top - Black/Rustic Brown","B09NM5X7SX","https://www.amazon.com/dp/B09NM5X7SX?psc=1","https://m.media-amazon.com/images/I/71sB1VtWzwL._AC_SX679_.jpg","Somdot",28.99,"1,530","44,354.70","24,551","US",13.44,22,4.2,971,7,52,"SOMDOT Home and Beyond","Home & Kitchen","Large Standard-Size","FBA","12.4x3.5x16.5",8.73,"1/1/2022"
"HAYOFAMY 3 Tier End Table Night Stand, Narrow Side Table with Display Shelf, Small Bookcase Bookshelf, Simple Bedside Table Storage Rack for Bedroom, Living Room, Office, Bathroom (White, 3 Tier)","B0BPPR7122","https://www.amazon.com/dp/B0BPPR7122?psc=1","https://m.media-amazon.com/images/I/61NfPhAu-dL._AC_SY450_.jpg","HAYOFAMY",27.68,504,"13,950.72","63,655","CN",12.44,1,3.6,27,8,6,"HAYOFAMY","Home & Kitchen","Large Standard-Size","FBA","9.8x16.3x3.5",6.33,"12/10/2022"
"($) VECELO 3-Tier End Tables, Small Nightstands with Storage Shelf, Industrial Night Stand for Living Room Bedroom, Metal Frame, 1 Pack(A), Misty Gray","B0BMTD5TDZ","https://www.amazon.com/dp/B0BMTD5TDZ?psc=1","https://m.media-amazon.com/images/I/81-JNr-SaJL._AC_SX425_.jpg","VECELO",37.33,60,"2,239.80","287,600","AMZ",13.09,1,4.5,180,8,5,"Amazon","Home & Kitchen","Small Oversize","AMZ","14.1x24.4x3.5",8.80,"11/18/2022"
"($) VASAGLE Side Table with Charging Station, Narrow End Table with 2 Drawers, Slim Nightstand and Bedside Table with Storage, for Small Spaces, Greige and Black ULET321B02","B0BRXZRG5J","https://www.amazon.com/dp/B0BRXZRG5J?psc=1","https://m.media-amazon.com/images/I/81kJOj6XdAL._AC_SX679_.jpg","VASAGLE",99.99,"n/a","n/a","55,676","US",39.43,1,4.6,3,8,0,"Songmics Direct","Home & Kitchen","Small Oversize","FBA","16.7x5.5x28.0",35.11,"5/18/2023"
"($) VECELO End Tables Set of 2, Modern Nightstands with Drawer& Shelf, Night Stand for Bedroom Living Room,Industrial Metal Frame, 2 Pack, Vintage Brown","B09C5VZS12","https://www.amazon.com/dp/B09C5VZS12?psc=1","https://m.media-amazon.com/images/I/71BPuG2mAiL._AC_SY450_.jpg","VECELO",89.99,591,"53,184.09","69,786","AMZ",37.51,8,4.3,763,9,40,"Amazon","Home & Kitchen","Small Oversize","FBA","13.7x8.5x24.8",32.86,"8/9/2021"
"($) HITACTS Medical Adjustable Overbed Table Reinforced Pneumatic Bedside Table with Lockable Wheels Laptop Workstation Mobile Sitting Standing Desk for Home Office Height Adjustment 29""-44""","B0BZ3LRG87","https://www.amazon.com/dp/B0BZ3LRG87?psc=1","https://m.media-amazon.com/images/I/6150I0m4DZL._AC_SY355_.jpg","HITACTS",139.99,265,"37,097.35","13,507","CN",44.17,1,4.4,35,7,15,"Ding Collection","Industrial & Scientific","Small Oversize","FBA","23.9x5.1x34.5",33.01,"3/21/2023"
"WLIVE Nightstand, End Table with Fabric Storage Drawer and Open Wood Shelf, Bedside Furniture with Steel Frame, Side Table for Bedroom, Dorm, Easy Assembly, Black and Rustic Brown","B099WCSZTJ","https://www.amazon.com/dp/B099WCSZTJ?psc=1","https://m.media-amazon.com/images/I/81yu9W9G3HL._AC_SX425_.jpg","WLIVE",29.99,"4,413","132,345.87","9,538","CN",18.43,7,4.4,"2,922",9,158,"WLIVE","Home & Kitchen","Small Oversize","FBA","16.5x2.5x22.1",11.00,"7/20/2021"
