"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"($) Amazon Basics Lift-Top Storage Coffee Table, Black","B07J29V51Q","https://www.amazon.com/dp/B07J29V51Q?psc=1","https://m.media-amazon.com/images/I/618HEDWXJQL._AC_SX450_.jpg","Amazon Basics",141.51,"n/a","n/a","4,287","AMZ",56.16,1,4.4,"1,644",6,0,"Amazon","Our Brands","Small Oversize","AMZ","22.5x8.8x42.5",50.27,"6/12/2019"
"Whiteline Modern Living Cory Coffee Table, White/Grey","B0BR8HLNDM","https://www.amazon.com/dp/B0BR8HLNDM?psc=1","https://m.media-amazon.com/images/I/81LEV0EwSpL._AC_SX355_.jpg","Whiteline Modern Living","1,528.20",0,0.00,"5,183,169","AMZ",340.60,3,"n/a",0,4,0,"Amazon","Home & Kitchen","Special Oversize","AMZ","44.0x44.0x12.0",113.00,"12/28/2022"
"Furinno Modern Simplistic Criss-Crossed Coffee Table, 35.4 in x 19.6 in x 16 in, French Oak Grey","B08XX3V5DD","https://www.amazon.com/dp/B08XX3V5DD?psc=1","https://m.media-amazon.com/images/I/51mzdHOFD8L._AC_SY450_.jpg","Furinno",26.32,"1,312","34,531.84","9,235","AMZ",22.08,10,3.4,"2,364",6,54,"Amazon","Home & Kitchen","Small Oversize","FBA","22.1x2.0x37.9",20.55,"3/3/2021"
"Sweetcrispy Coffee Table, Lift Top Coffee Tables for Living Room,Rising Tabletop Wood Dining Center Tables with Storage Shelf and Hidden Compartment","B0C5X64YMX","https://www.amazon.com/dp/B0C5X64YMX?psc=1","https://m.media-amazon.com/images/I/71tc5bm9a3L._AC_SY450_.jpg","Sweetcrispy",69.99,245,"17,147.55","16,368","AMZ",34.51,2,4.5,73,9,0,"Amazon","Home & Kitchen","Small Oversize","AMZ","18.0x40.0x4.0",35.00,"5/22/2023"
"Furinno Simple Design Coffee Table, Dark Brown","B00IZCW4Q8","https://www.amazon.com/dp/B00IZCW4Q8?psc=1","https://m.media-amazon.com/images/I/51SkB6VtgDL._AC_SY355_.jpg","Furinno",24.11,"2,070","49,907.70","11,315","AMZ",21.33,20,4.1,"14,425",5,122,"Amazon","Home & Kitchen","Small Oversize","FBA","24.0x2.8x38.0",19.10,"3/11/2014"
"WLIVE Wood Lift Top Coffee Table with Hidden Compartment and Adjustable Storage Shelf, Lift Tabletop Dining Table for Home Living Room, Office, Rustic Oak","B084ZH1LYN","https://www.amazon.com/dp/B084ZH1LYN?psc=1","https://m.media-amazon.com/images/I/81xhCy8yQ6L._AC_SX466_.jpg","WLIVE",99.99,"4,833","483,251.67","5,249","CN",43.63,5,4.3,"5,087",9,146,"WLIVE","Home & Kitchen","Small Oversize","FBA","21.8x4.5x42.5",45.11,"5/29/2020"
"Yaheetech Lift Top Coffee Table with Hidden Compartment and Storage Shelf, Rising Tabletop Dining Table for Living Room Reception Room, 38.6in L, Black","B09F9BL46G","https://www.amazon.com/dp/B09F9BL46G?psc=1","https://m.media-amazon.com/images/I/51n8I7oB94L._AC_SY450_.jpg","Yaheetech",79.99,"5,457","436,505.43","6,606","US",40.21,1,4.5,"13,806",9,211,"Yaheetech","Home & Kitchen","Small Oversize","MFN","23.1x4.0x43.7",44.36,"12/27/2019"
"Household Essentials Jamestown Round Coffee Table Ashwood Rustic Wood Grain and Black Metal, 31.5 x 31.5","B01FXOLJBQ","https://www.amazon.com/dp/B01FXOLJBQ?psc=1","https://m.media-amazon.com/images/I/61YqQWWQaFL._AC_SX569_.jpg","Household Essentials",62.50,"1,649","103,062.50","9,558","AMZ",37.25,9,4.5,"11,944",12,"6,110","Amazon","Home & Kitchen","Medium Oversize","AMZ","33.1x2.7x33.3",20.15,"n/a"
"SUPER DEAL 2-Tier Industrial Coffee Table with Storage Shelf for Small Apartment Living Room, Rectangle Wood and Stable Metal TV Stand Side End Table, Rustic Brown","B08N4TDMF4","https://www.amazon.com/dp/B08N4TDMF4?psc=1","https://m.media-amazon.com/images/I/71CuUQLcDhL._AC_SX569_.jpg","SUPER DEAL",48.99,"1,176","57,612.24","30,687","CN",58.47,1,4.6,922,7,47,"SuperDealUsa","Home & Kitchen","Medium Oversize","MFN","16.5x20.0x31.5",25.00,"11/9/2020"
"Ameriwood Home Parsons Modern Coffee Table, Black","B005QLJL3K","https://www.amazon.com/dp/B005QLJL3K?psc=1","https://m.media-amazon.com/images/I/81UdbeScHLL._AC_SX425_.jpg","DHP",42.84,775,"33,201.00","30,022","AMZ",22.04,1,4.3,"5,209",8,23,"Amazon","Home & Kitchen","Small Oversize","AMZ","19.8x2.0x47.0",14.94,"9/28/2011"
