"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"($) Amazon Basics Round Storage End Table, Side Table with Cloth Basket - White/Heather Gray, 19 x 18 x 18 Inches","B07TWXS5Y6","https://www.amazon.com/dp/B07TWXS5Y6?psc=1","https://m.media-amazon.com/images/I/71bLf-pRNRL._AC_SY355_.jpg","Amazon Basics",30.60,"n/a","n/a","1,681","AMZ",17.26,8,4.5,"8,520",6,0,"Amazon","Our Brands","Small Oversize","FBA","19.5x2.6x20.5",6.73,"n/a"
"($) Leick Home Mission Impeccable, Medium Oak , 22.5 in x 12 in x 24 in","B009IURXEO","https://www.amazon.com/dp/B009IURXEO?psc=1","https://m.media-amazon.com/images/I/71Oh0NIrgIL._AC_SX425_.jpg","Leick Home",200.00,219,"43,800.00","95,549","AMZ",56.11,5,4.6,"3,261",9,461,"Amazon","Home & Kitchen","Small Oversize","AMZ","22.8x9.4x25.7",32.21,"n/a"
"($) Leick Home 9017-MED One Drawer Narrow Side Table with Shelf, Hand Applied Rustic Oak Finish 10 in x 24 in x 24 in","B002D1E37A","https://www.amazon.com/dp/B002D1E37A?psc=1","https://m.media-amazon.com/images/I/81lQpxJ8x3L._AC_SX466_.jpg","Leick Home",138.63,168,"23,289.84","145,778","AMZ",39.76,1,4.8,"3,640",9,-36,"Amazon","Home & Kitchen","Small Oversize","AMZ","13.1x9.1x25.8",20.70,"n/a"
"HOOBRO End Table with Charging Station and USB Ports, 3-Tier Nightstand with Adjustable Shelf, Narrow Side Table for Small Space in Living Room, Bedroom and Balcony, Rustic Brown BF112BZ01","B09X395CNV","https://www.amazon.com/dp/B09X395CNV?psc=1","https://m.media-amazon.com/images/I/71BlC+UiJ8L._AC_SY355_.jpg","HOOBRO",39.99,"2,157","86,258.43","9,518","CN",15.41,4,4.4,365,9,62,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.3x4.1x17.1",9.66,"4/2/2022"
"Furinno Simplistic Set of 2 End Table, Espresso/Black","B00OR1KQQ6","https://www.amazon.com/dp/B00OR1KQQ6?psc=1","https://m.media-amazon.com/images/I/41wraSSgVvL._AC_SX425_.jpg","Furinno",22.53,"8,296","186,908.88","1,209","AMZ",18.57,13,4.3,"40,235",13,675,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.2x4.0x21.0",13.60,"10/22/2014"
"FURINNO Turn-N-Tube Haydn End Table, 1-Pack, French Oak Grey/Black","B01CP3DSAI","https://www.amazon.com/dp/B01CP3DSAI?psc=1","https://m.media-amazon.com/images/I/61iwhBmJLaL._AC_SY355_.jpg","Furinno",8.82,"45,497","401,283.54",417,"AMZ",13.57,8,4.5,"86,910",5,"1,699","Amazon","Home & Kitchen","Small Oversize","AMZ","14.3x3.2x19.8",6.80,"3/8/2016"
"NauticalMart Aviator 3 Door Sideboard End Table Design Metal Side Table","B07GDNVLDN","https://www.amazon.com/dp/B07GDNVLDN?psc=1","https://m.media-amazon.com/images/I/81xOe0-lI9L._AC_SY355_.jpg","NauticalMart","2,250.00",0,0.00,"4,644,610","IN","n/a",1,5.0,1,6,0,"NauticalMart","Home & Kitchen","n/a","MFN","n/a","n/a","8/13/2018"
"Yoobure End Table with Charging Station, Flip Top Side Table with USB Ports and Outlets, Sofa Couch Table Bedside Table for Living Room Bedroom, Narrow Nightstand with Storage Shelves for Small Space","B0B93L5WPW","https://www.amazon.com/dp/B0B93L5WPW?psc=1","https://m.media-amazon.com/images/I/7164+J-WIyL._AC_SX466_.jpg","Yoobure",65.99,"3,210","211,827.90","9,221","HK",21.87,2,4.7,611,6,75,"Super A Plus","Home & Kitchen","Large Standard-Size","FBA","13.2x7.1x17.9",17.88,"10/12/2022"
"MNEETRUNG End Table with Charging Station, Industrial Side Table with USB Ports and Outlets, Bedside Tables with Door, 3-Tier Nightstand for Small Spaces, Sturdy, for Living Room, Bedroom, Brown","B0BZVN9VKD","https://www.amazon.com/dp/B0BZVN9VKD?psc=1","https://m.media-amazon.com/images/I/81niy6qejqL._AC_SY450_.jpg","MNEETRUNG",69.99,"n/a","n/a","254,575","CN",22.63,1,4.9,23,7,0,"Mneetrung","Home & Kitchen","Large Standard-Size","FBA","13.7x6.0x17.3",18.04,"3/29/2023"
"HOOBRO End Table, Nightstand with 2-Tier Mesh Shelves, Side Table for Living Room, Bedroom, Industrial, Stable Steel Frame, Easy Assembly, Rustic Brown BF21BZ01","B09MTJLY9N","https://www.amazon.com/dp/B09MTJLY9N?psc=1","https://m.media-amazon.com/images/I/71QIaJYko6L._AC_SX466_.jpg","HOOBRO",25.99,251,"6,523.49","97,091","CN",12.67,4,4.5,117,8,5,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.5x3.5x17.0",7.74,"n/a"
