"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"($) Lifetime Home Lift Top Coffee Table with Hidden Compartment and Storage Shelf - Living Room Dining Table with Rising Tabletop Lifttop Desk for Apartment, Home, Condo - Rustic Brown","B0C4RML34X","https://www.amazon.com/dp/B0C4RML34X?psc=1","https://m.media-amazon.com/images/I/71mEGx2BjaL._AC_SY450_.jpg","Lifetime Home",63.95,"n/a","n/a","160,777","US",47.46,2,"n/a",0,8,0,"Lifetime Appliance Parts","Home & Kitchen","Small Oversize","MFN","25.0x25.0x15.0",48.00,"5/9/2023"
"Furinno Modern Simplistic Criss-Crossed Coffee Table, 35.4 in x 19.6 in x 16 in, French Oak Grey","B08XX3V5DD","https://www.amazon.com/dp/B08XX3V5DD?psc=1","https://m.media-amazon.com/images/I/51mzdHOFD8L._AC_SY450_.jpg","Furinno",26.32,"1,312","34,531.84","9,235","AMZ",22.08,10,3.4,"2,364",6,54,"Amazon","Home & Kitchen","Small Oversize","FBA","22.1x2.0x37.9",20.55,"3/3/2021"
"Yaheetech Lift Top Coffee Table with Hidden Compartment and Storage Shelf, Rising Tabletop Dining Table for Living Room Reception Room, 38.6in L, Rustic Brown","B07ZFNN72Z","https://www.amazon.com/dp/B07ZFNN72Z?psc=1","https://m.media-amazon.com/images/I/61HsodbliBL._AC_SX679_.jpg","Yaheetech",69.99,"5,509","385,574.91","6,606","US",39.54,2,4.5,"13,806",9,211,"Yaheetech","Home & Kitchen","Small Oversize","MFN","22.8x3.9x44.1",46.53,"10/22/2019"
"Furinno Simple Design Coffee Table, Espresso","B003VOZE6M","https://www.amazon.com/dp/B003VOZE6M?psc=1","https://m.media-amazon.com/images/I/51FwiT03ZOL._AC_SX466_.jpg","Furinno",29.44,"2,069","60,911.36","11,315","AMZ",17.71,9,4.1,"14,425",7,190,"Amazon","Home & Kitchen","Small Oversize","AMZ","24.0x2.8x38.5",19.35,"8/19/2011"
"Furinno JAYA Simple Design Oval Coffee Table, Walnut","B01FX5CMKC","https://www.amazon.com/dp/B01FX5CMKC?psc=1","https://m.media-amazon.com/images/I/61MqCAi-l7L._AC_SX569_.jpg","Furinno",33.80,"n/a","n/a","75,786","AMZ",25.72,14,3.7,"2,884",6,"1,107","Amazon","Home & Kitchen","Small Oversize","AMZ","21.7x2.9x38.2",26.24,"5/19/2016"
"SAYGOER Coffee Table Small Square Modern Coffee Tables for Small Spaces Simple Farmhouse Low Center Table for Living Room Home Office, Rustic Wooden Top with Metal Frames, Easy Assembly, Grey Wooden","B09HBQFVFJ","https://www.amazon.com/dp/B09HBQFVFJ?psc=1","https://m.media-amazon.com/images/I/91YAxBJFkXL._AC_SX569_.jpg","SAYGOER",79.95,347,"27,742.65","91,081","CN",30.12,1,4.6,636,7,9,"SAYGOER DIRECT","Home & Kitchen","Small Oversize","FBA","28.0x3.0x31.0",20.55,"9/28/2021"
"FDW Lift Top Coffee Table with Hidden Compartment and Storage Shelf Wooden Lift Tabletop for Home Living Room Reception Room Office (Brown)","B08W8NJGNX","https://www.amazon.com/dp/B08W8NJGNX?psc=1","https://m.media-amazon.com/images/I/71QOZKHT7WL._AC_SY355_.jpg","FDW",40.99,"2,303","94,399.97","15,424","US",39.82,1,4.2,"1,522",7,106,"Cavalier Store","Home & Kitchen","Small Oversize","MFN","24.0x43.0x5.0",58.00,"2/9/2021"
"Ameriwood Home Parsons Modern Coffee Table, Black","B005QLJL3K","https://www.amazon.com/dp/B005QLJL3K?psc=1","https://m.media-amazon.com/images/I/81UdbeScHLL._AC_SX425_.jpg","DHP",42.84,775,"33,201.00","30,022","AMZ",22.04,1,4.3,"5,209",8,23,"Amazon","Home & Kitchen","Small Oversize","AMZ","19.8x2.0x47.0",14.94,"9/28/2011"
"ChooChoo Mission Coffee Table, Black Wood Living Room Table with Shelf, 40 Black","B07T24P7MP","https://www.amazon.com/dp/B07T24P7MP?psc=1","https://m.media-amazon.com/images/I/71eymqAE8sL._AC_SX466_.jpg","ChooChoo",109.99,737,"81,062.63","37,566","CN",28.68,1,4.4,"1,140",6,32,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","25.1x5.0x44.0",41.76,"6/12/2019"
"ChooChoo Oxford Coffee Table with Thicker Legs, Black Wood Coffee Table with Storage for Living Room","B07T238M73","https://www.amazon.com/dp/B07T238M73?psc=1","https://m.media-amazon.com/images/I/71rIs5b2PfS._AC_SX466_.jpg","ChooChoo",109.99,537,"59,064.63","54,432","CN",43.45,7,4.4,"1,094",7,30,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","24.0x5.0x43.5",42.51,"6/12/2019"
