"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"($) Amazon Basics Round Storage End Table, Side Table with Cloth Basket - White/Heather Gray, 19 x 18 x 18 Inches","B07TWXS5Y6","https://www.amazon.com/dp/B07TWXS5Y6?psc=1","https://m.media-amazon.com/images/I/71bLf-pRNRL._AC_SY355_.jpg","Amazon Basics",30.60,"n/a","n/a","1,681","AMZ",17.26,8,4.5,"8,520",6,0,"Amazon","Our Brands","Small Oversize","FBA","19.5x2.6x20.5",6.73,"n/a"
"($) End Table with Charging Station, Narrow Side Table with USB Ports and Outlets, Flip Top Nightstand / Bedside Table / Sofa Couch Table for Small Spaces / Slim End Table for Living Room Bedroom Office","B09XF1BD3V","https://www.amazon.com/dp/B09XF1BD3V?psc=1","https://m.media-amazon.com/images/I/813ERoU0RUL._AC_SY355_.jpg","TILLMAO",59.99,921,"55,250.79","29,529","CN",21.80,3,4.7,517,7,42,"Weili-TECH","Home & Kitchen","Large Standard-Size","FBA","13.9x6.1x17.2",17.39,"8/31/2022"
"BUYT Portable End Table Mobile Folding Table Overbed Table with Castors for Bedroom, Living Room, Sofa Multifunctional and Practical Wheels Side Table (Color : Blue)","B08MBQTM9R","https://www.amazon.com/dp/B08MBQTM9R?psc=1","https://m.media-amazon.com/images/I/51U7hMnAGJL._AC_SX679_.jpg","BUYT",669.75,"n/a","n/a","n/a","CN","n/a",1,"n/a",0,"n/a",0,"junboyaojianshe","Home & Kitchen","n/a","MFN","n/a","n/a","10/31/2020"
"Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, French Oak Grey/Black","B07FL6D1Z8","https://www.amazon.com/dp/B07FL6D1Z8?psc=1","https://m.media-amazon.com/images/I/716RUsUozWL._AC_SX679_.jpg","Furinno",17.67,"45,481","803,649.27",417,"AMZ",11.26,13,4.5,"86,910",7,"1,084","Amazon","Home & Kitchen","Large Standard-Size","FBA","12.2x3.4x16.3",7.15,"7/13/2018"
"FORAOFUR Side Table, Small End Table Accent Table Living Room Bedroom Balcony Office, Modern Side Table Bedside Table Home Decor, Easy Assembly","B09TFHLB3J","https://www.amazon.com/dp/B09TFHLB3J?psc=1","https://m.media-amazon.com/images/I/51UCaA8FFXL._AC_SX425_.jpg","FORAOFUR",23.39,"1,844","43,131.16","12,050","CN",11.32,1,4.6,413,7,36,"HAITE HOME","Home & Kitchen","Large Standard-Size","FBA","13.3x2.8x17.2",4.59,"2/25/2022"
"HOOBRO Nightstand with Charging Station and USB Ports, 3-Tier End Table with Adjustable Shelves, Side Table for Small Space Living Room, Bedroom and Balcony, Modern Style, Gold and White DW112BZ01G1","B0BTBVGMN4","https://www.amazon.com/dp/B0BTBVGMN4?psc=1","https://m.media-amazon.com/images/I/61AdcQTm82L._AC_SX679_.jpg","HOOBRO",45.99,"n/a","n/a","9,518","CN",16.30,1,4.4,365,9,59,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.4x4.0x17.1",9.97,"1/30/2023"
"ALLOSWELL Small Side Table, End Table with Storage Shelf, 14.6 x 10.6 x 19.9 Inches, Nightstand X-Shaped Design, Bedside Table, Steel Frame, Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR2801","B09G2L33ZX","https://www.amazon.com/dp/B09G2L33ZX?psc=1","https://m.media-amazon.com/images/I/717EXLXHa4L._AC_SX425_.jpg","ALLOSWELL",19.99,486,"9,715.14","24,952","CN",11.93,7,4.3,471,9,27,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","13.2x3.4x17.3",8.38,"1/6/2022"
"Yoobure C Shaped End Table, Side Table for Couch and Bed, Small Side Table for Small Spaces, Living Room, Bedroom, Rustic Snack Table","B09QC6QN7D","https://www.amazon.com/dp/B09QC6QN7D?psc=1","https://m.media-amazon.com/images/I/511ysW9DwML._AC_SX679_.jpg","Yoobure",35.99,"1,965","70,720.35","17,498","HK",14.17,15,4.5,957,7,70,"Super A Plus","Home & Kitchen","Large Standard-Size","FBA","12.3x3.0x17.6",7.78,"4/24/2022"
"Furinno Simple Design End/SideTable, Espresso","B003VP10PK","https://www.amazon.com/dp/B003VP10PK?psc=1","https://m.media-amazon.com/images/I/51s0FECr-BL._AC_SY355_.jpg","Furinno",10.24,"1,653","16,926.72","4,026","AMZ",15.89,7,4.4,"10,488",9,83,"Amazon","Home & Kitchen","Small Oversize","AMZ","22.0x2.1x22.7",11.90,"8/23/2011"
"VASAGLE Small Round Side End Table, Modern Nightstand with Fabric Basket, White + Beige","B0BBTN7F4Q","https://www.amazon.com/dp/B0BBTN7F4Q?psc=1","https://m.media-amazon.com/images/I/71PfQeVSYKL._AC_SX569_.jpg","VASAGLE",42.99,"3,564","153,216.36","9,428","AMZ",20.80,9,4.6,116,9,31,"Amazon","Home & Kitchen","Small Oversize","AMZ","20.1x3.8x21.5",10.05,"8/25/2022"
"($) FAGAGA End Table with Charging Station, Side Table with Storage, Wireless Charging End Table for Living Room,White Nightstand with Adjustable Shelf","B0BYSCMG2H","https://www.amazon.com/dp/B0BYSCMG2H?psc=1","https://m.media-amazon.com/images/I/71IcpvhPyHL._AC_SY355_.jpg","FAGAGA",169.99,128,"21,758.72","278,938","HK","n/a",1,4.5,30,7,5,"FAGAGA Furniture","Home & Kitchen","n/a","MFN","n/a","n/a","3/17/2023"
"($) coucheta Nightstand with Charging Station, Side Table with USB Ports and Outlets, Nightstand for Large Spaces, Bedside Tables with Storage Shelf for Living Room, Bedroom (Grey)","B0BHWSKNP4","https://www.amazon.com/dp/B0BHWSKNP4?psc=1","https://m.media-amazon.com/images/I/71Kot1NnFrL._AC_SX569_.jpg","coucheta",78.29,33,"2,583.57","879,355","AMZ",34.22,3,4.4,9,7,1,"Amazon","Home & Kitchen","Small Oversize","FBA","18.0x20.0x5.0",29.00,"10/11/2022"
"($) Aheaplus End Table Set of 2 with Charging Station, 3 Tier Slim Side Table with Storage Shelf, Narrow Bedside Nightstand with USB Ports & Outlets, Sofa Side Table for Bedroom, Living Room, Black","B0BG87SZC2","https://www.amazon.com/dp/B0BG87SZC2?psc=1","https://m.media-amazon.com/images/I/71nHyPrykbL._AC_SX679_.jpg","Aheaplus",89.99,605,"54,443.95","30,292","CN",25.79,1,4.3,331,7,28,"Aheaplus","Home & Kitchen","Large Standard-Size","FBA","13.5x6.5x16.2",19.60,"9/23/2022"
"($) Ecoprsio Nightstand White End Table Side Table with Drawer and Storage Shelf Wood Night Stand Modern Bedside Table for Bedroom, Living Room, Sofa Couch, Hall, Easy Assembly, White","B098389B99","https://www.amazon.com/dp/B098389B99?psc=1","https://m.media-amazon.com/images/I/71F-S7pS39L._AC_SX425_.jpg","Ecoprsio",59.99,456,"27,355.44","66,732","CN",26.62,17,4.4,693,8,13,"Ecoprsio Store","Home & Kitchen","Small Oversize","FBA","18.2x3.4x25.5",18.90,"6/28/2021"
"ALLOSWELL End Table, Side Table with Storage Shelf, Nightstand for Small Spaces, Bedside Table, for Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR5001","B09G2G448L","https://www.amazon.com/dp/B09G2G448L?psc=1","https://m.media-amazon.com/images/I/61PiWODKD+L._AC_SY450_.jpg","ALLOSWELL",21.99,580,"12,754.20","36,851","CN",12.07,1,4.3,450,9,13,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","12.9x3.4x17.2",7.76,"1/6/2022"
"Apicizon 2 Tier End Table, Boho Side Table with Storage Shelf, Nightstand Bedside Table for Small Spaces, Bedroom, Living Room, Entryway, Farmhouse, Easy Assembly, White+Natural","B09TR7ZNMP","https://www.amazon.com/dp/B09TR7ZNMP?psc=1","https://m.media-amazon.com/images/I/81zsVDZNspL._AC_SY450_.jpg","Apicizon",28.99,470,"13,625.30","70,686","CN",14.11,1,4.5,115,7,10,"APICIZONHOME","Home & Kitchen","Large Standard-Size","FBA","12.8x2.8x17.1",7.54,"10/26/2021"
"AOJEZOR End Table,Accent Table Ideal for Any Room-Side Table Living Room,Side Tables Bedroom,Side Table Waterproof Metal Structure Great for Indoor & Outdoor,Matte Black Tray Surface with 3 Legs","B09X9GMLZG","https://www.amazon.com/dp/B09X9GMLZG?psc=1","https://m.media-amazon.com/images/I/717q7wg1ZhL._AC_SY355_.jpg","AOJEZOR",37.88,"3,868","146,519.84","4,644","CN",19.30,4,4.6,"3,277",8,50,"Aojezor","Home & Kitchen","Small Oversize","FBA","18.4x2.8x23.5",6.55,"3/14/2022"
"Apicizon Round Side Table, White Nightstand Coffee End Table for Living Room, Bedroom, Small Spaces, Easy Assembly Modern Home Decor Bedside Table with Natural Wood Legs, 16.5 x 20.5 Inches","B08LYPSDNY","https://www.amazon.com/dp/B08LYPSDNY?psc=1","https://m.media-amazon.com/images/I/61+87WmxrzS._AC_SY450_.jpg","Apicizon",36.99,"2,071","76,606.29","13,040","CN",17.80,1,4.5,"1,923",9,42,"APICIZON","Home & Kitchen","Small Oversize","FBA","18.0x2.8x18.0",4.70,"2/2/2021"
"($) MASHOOPS End Table with Charging Station, Narrow End Table for Small Spaces Flip Top Storage, 3-Tier Shelf Drawer & Fabric Bag, Living Room & Bedroom, Brown","B09YGKLD5S","https://www.amazon.com/dp/B09YGKLD5S?psc=1","https://m.media-amazon.com/images/I/81EIxU6-lNL._AC_SY450_.jpg","MASHOOPS",89.99,74,"6,659.26","217,253","CN",33.31,1,4.5,129,7,6,"MASHOOPS","Home & Kitchen","Small Oversize","FBA","13.9x6.4x26.2",24.56,"4/21/2022"
"($) VASAGLE Side Table with Charging Station, Narrow End Table with 2 Drawers, Slim Nightstand and Bedside Table with Storage, for Small Spaces, Oak with Blue Grains and Black ULET321B60","B0BRXYYPDW","https://www.amazon.com/dp/B0BRXYYPDW?psc=1","https://m.media-amazon.com/images/I/81Rfcm5I5dL._AC_SX466_.jpg","VASAGLE",99.99,"n/a","n/a","55,676","US",39.01,1,4.6,3,8,0,"Songmics Direct","Home & Kitchen","Small Oversize","FBA","16.7x5.7x28.2",35.01,"5/18/2023"
"($) OKD Nightstand w/Charging Station, 18 Inch Farmhouse End Table w/Barn Door and Adjustable Storage Shelf, Rustic Wood Sofa Side Table w/Magnetic Door for Living Room, Bedroom, Light Rustic Oak","B098D3FSZT","https://www.amazon.com/dp/B098D3FSZT?psc=1","https://m.media-amazon.com/images/I/816oCEIJARL._AC_SX425_.jpg","OKD",119.99,626,"75,113.74","56,708","CN","n/a",1,4.4,361,6,43,"OKD-us","Home & Kitchen","n/a","MFN","n/a","n/a","7/1/2021"
"($) VECELO Modern Nightstand with Drawer Square End, Side Table for Bedroom, Living Room, Small Space, Night Stand with Open Shelf, Stable Metal Frame, 1 Pack, Black","B083B85191","https://www.amazon.com/dp/B083B85191?psc=1","https://m.media-amazon.com/images/I/61mG92mFyPL._AC_SX679_.jpg","VECELO",59.99,603,"36,173.97","64,621","AMZ",30.49,2,4.3,"1,035",8,53,"Amazon","Home & Kitchen","Small Oversize","AMZ","19.8x5.0x25.2",28.35,"n/a"
"CubiCubi C Shaped End Table, Side Table for Couch and Bed, Rustic Table Living Room Bedroom, Small Table with Metal Frames, Modern Design, White","B092HJRLC3","https://www.amazon.com/dp/B092HJRLC3?psc=1","https://m.media-amazon.com/images/I/615lMcPEj+L._AC_SX425_.jpg","CubiCubi",33.99,608,"20,665.92","39,577","CN",13.87,14,4.5,880,8,25,"EleTab","Home & Kitchen","Large Standard-Size","FBA","13.2x2.8x17.7",7.87,"4/14/2021"
"LUCKNOCK Nightstand, Mid-Century Modern Bedside Tables with Storage Shelf, Minimalist and Practical End Side Table, Fashion Bedroom Furnitur,Rustic Brown.","B0BK8F8KWQ","https://www.amazon.com/dp/B0BK8F8KWQ?psc=1","https://m.media-amazon.com/images/I/71tqW809hDL._AC_SX466_.jpg","LUCKNOCK",39.99,"1,013","40,509.87","29,623","CN",18.16,1,4.6,314,6,35,"LUCKNOCK","Home & Kitchen","Large Standard-Size","FBA","13.2x5.5x16.9",15.32,"10/24/2022"
"APEXCHASER Metal Side Table, 3-Tier Modern Style End Table with Storage Shelf, Side Table for Small Spaces, Fashionable Coffee Table for Living Room, Bedroom,Pink","B0BX9QJTWK","https://www.amazon.com/dp/B0BX9QJTWK?psc=1","https://m.media-amazon.com/images/I/71SVCJ15KuL._AC_SX466_.jpg","APEXCHASER",39.99,363,"14,516.37","49,681","CN",15.41,1,4.2,23,6,14,"TR Trading Store","Home & Kitchen","Large Standard-Size","FBA","12.6x7.3x17.2",7.94,"3/2/2023"
