"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"($) Gewudraw Console Table with Power Outlets, 55.11"" Narrow Sofa Table with Charging Station & USB Ports, Entryway Table Behind Couch, Industrial Sofa Table for Hallway, Living Room, Bedroom","B0C272K4KX","https://www.amazon.com/dp/B0C272K4KX?psc=1","https://m.media-amazon.com/images/I/71501fqd9JL._AC_SX466_.jpg","Gewudraw",64.99,"n/a","n/a","70,513","CN",20.92,1,4.3,13,9,3,"Gewudraw","Home & Kitchen","Large Standard-Size","FBA","8.9x5.4x17.0",15.37,"5/12/2023"
"ALLOSWELL Console Table with Power Outlet, 63"" Narrow Sofa Table, Industrial Entryway Table with USB Ports, Behind Couch Table for Entryway, Hallway, Foyer, Living Room, Bedroom CTHR16E01","B09XMKSNST","https://www.amazon.com/dp/B09XMKSNST?psc=1","https://m.media-amazon.com/images/I/61oYUWe-3xL._AC_SX522_.jpg","ALLOSWELL",59.99,491,"29,455.09","80,192","CN",26.71,2,4.6,359,8,29,"ALLOSWELL","Home & Kitchen","Small Oversize","FBA","10.0x4.8x36.5",19.95,"5/1/2022"
"VASAGLE C-Shaped End Table, Small Side Table for Couch, Sofa Table with Metal Frame for Living Room, Bedroom, Bedside, Rustic Brown and Black","B08VDQN8H5","https://www.amazon.com/dp/B08VDQN8H5?psc=1","https://m.media-amazon.com/images/I/51r6RyMQCLL._AC_SX679_.jpg","VASAGLE",39.99,"2,913","116,490.87","6,224","US",16.23,3,4.7,"2,189",8,95,"Songmics Direct","Home & Kitchen","Large Standard-Size","FBA","13.0x3.1x17.2",9.08,"6/23/2021"
"Tajsoon Console Table, Industrial entryway Table, Narrow Sofa Table with Shelves,Entrance Table for Entryway, Hallway, Living Room, Foyer, Corridor, Office, Rustic Brown and Black","B0989DQJ9L","https://www.amazon.com/dp/B0989DQJ9L?psc=1","https://m.media-amazon.com/images/I/814rUarzH8L._AC_SY450_.jpg","Tajsoon",59.99,"2,608","156,453.92","14,121","CN",19.85,1,4.5,"1,195",7,77,"tajsoon","Home & Kitchen","Large Standard-Size","FBA","12.4x4.0x16.8",14.22,"6/30/2021"
"Convenience Concepts Oxford 1 Drawer Console Table with Shelves, Black","B074SWDBSX","https://www.amazon.com/dp/B074SWDBSX?psc=1","https://m.media-amazon.com/images/I/71ovWHgEu7L._AC_SX679_.jpg","Convenience Concepts",93.33,"1,410","131,595.30","22,029","AMZ",41.37,20,4.5,"9,323",10,66,"Amazon","Home & Kitchen","Small Oversize","AMZ","14.3x7.0x42.5",42.91,"8/14/2017"
"AMHANCIBLE C Shaped End Table Set of 2, Side Tables for Sofa, Couch Table Snack Side Table for Living Room Bedroom, Metal Frame, Acent, Rustic Brown HET02CBR","B09FXZTLX2","https://www.amazon.com/dp/B09FXZTLX2?psc=1","https://m.media-amazon.com/images/I/61dcs4Q+m0L._AC_SY355_.jpg","AMHANCIBLE",55.99,"1,459","81,689.41","11,501","CN",19.09,6,4.5,752,7,33,"Amhancible","Home & Kitchen","Large Standard-Size","FBA","12.9x6.5x16.7",13.93,"12/6/2021"
"SUPERJARE 70 Inch Console Table, Sofa Tables Narrow Long, Behind Couch Table Skinny, Hallway Table for Entryway, Entrance Tables for Front Door, Living Room - Vintage Brown","B0BMDNBYTW","https://www.amazon.com/dp/B0BMDNBYTW?psc=1","https://m.media-amazon.com/images/I/61i4KTdClBL._AC_SX355_.jpg","SUPERJARE",49.99,431,"21,545.69","61,259","US",26.20,1,4.4,55,7,-176,"Superjare Direct","Home & Kitchen","Small Oversize","FBA","10.8x3.8x39.0",19.30,"2/19/2023"
"MAHANCRIS 55"" Sofa Table, Industrial Console Table, 3-Tier Narrow Side Table with Open Shelves, Foyer Table for Entryway, Hallway, Kitchen, Living Room and Bedroom, Rustic Brown CTHR80401","B0BKFH339Q","https://www.amazon.com/dp/B0BKFH339Q?psc=1","https://m.media-amazon.com/images/I/71PfjddNqvL._AC_SX522_.jpg","MAHANCRIS",99.99,179,"17,898.21","186,980","CN",41.53,1,5.0,3,9,0,"ALLOSWELL","Home & Kitchen","Small Oversize","FBA","11.8x6.8x34.0",40.16,"3/30/2023"
"Walker Edison Sedalia Modern Farmhouse Metal X Entry Table, 46 Inch, Grey","B07H36DX4P","https://www.amazon.com/dp/B07H36DX4P?psc=1","https://m.media-amazon.com/images/I/612-YZ+KD2L._AC_SX679_.jpg","Walker Edison",110.82,"1,144","126,778.08","26,659","AMZ","n/a",3,4.6,"8,117",6,30,"Amazon","Home & Kitchen","Small Oversize","AMZ","15.0x5.4x50.2",40.81,"n/a"
"Ahvqevn Console Table, 51"" Entryway Table with Storage Shelves Narrow Long Sofa Table TV Console Table for Living Room Entryway, Industric Brown","B09P4VTN1R","https://www.amazon.com/dp/B09P4VTN1R?psc=1","https://m.media-amazon.com/images/I/71KB8W9JYRL._AC_SX425_.jpg","Ahvqevn",99.99,48,"4,799.52","222,194","CN",43.78,1,4.9,22,7,2,"Ahvqevn","Home & Kitchen","Small Oversize","MFN","16.0x6.0x54.5",43.06,"6/5/2022"
"($) OKD Entryway Table w/Sliding Barn Doors, 46'' Farmhouse & Industrial Console Table with Storage, Rustic Sofa Table w/Adjustable Shelf & Open Shelf for Entry Way, Hallway, Living Room, Antique White","B0BS9ZB4ZJ","https://www.amazon.com/dp/B0BS9ZB4ZJ?psc=1","https://m.media-amazon.com/images/I/81ZzLyMsWxL._AC_SY450_.jpg","OKD",199.99,432,"86,395.68","54,704","CN","n/a",1,4.6,115,6,21,"OKD-us","Home & Kitchen","n/a","MFN","n/a","n/a","2/11/2023"
"($) ODK 55"" Bar Table, Bar Height Pub Table, Counter Height Bar Table, Rectangular High Top Kitchen & Dining Counter Tables with Sturdy Legs & Easy-to-Clean Top & 10 Min Quick Assembly, Indoor use, White","B09R4LYG2K","https://www.amazon.com/dp/B09R4LYG2K?psc=1","https://m.media-amazon.com/images/I/61uRHsU7umL._AC_SX569_.jpg","ODK",119.99,573,"68,754.27","50,545","CN",41.59,7,4.6,"1,328",7,26,"Casaottima Store","Home & Kitchen","Small Oversize","FBA","19.5x4.0x59.5",32.16,"8/23/2021"
"VECELO Multipurpose Console, Narrow Sofa 2-Tier Rustic Hallway Table with Storage Shelves for Entryway/Living Room,Easy Assembly, 41.3 in x 14 in x 29.9 in (L x W x H), Brown","B07L3MSKLZ","https://www.amazon.com/dp/B07L3MSKLZ?psc=1","https://m.media-amazon.com/images/I/718kiMx0eyL._AC_SY450_.jpg","VECELO",54.99,29,"1,594.71","676,228","AMZ",29.83,3,4.6,660,7,16,"Amazon","Home & Kitchen","Small Oversize","MFN","18.0x3.5x46.0",30.10,"n/a"
"P PURLOVE Console Table for Entryway Wood Sofa Table with 3 Drawers and 1 Shelf for Hallway Living Room (Black)","B0BRM4RW3N","https://www.amazon.com/dp/B0BRM4RW3N?psc=1","https://m.media-amazon.com/images/I/91O83SiY9MS._AC_SX679_.jpg","P PURLOVE",186.99,39,"7,292.61","219,311","CN",65.92,1,4.0,2,9,-1,"Evan It","Home & Kitchen","n/a","MFN","n/a","n/a","1/10/2023"
"Furologee Console Table with 2 Drawers, Industrial Sofa Table, Entryway Table with 3-Tier Storage Shelves, Narrow Accent Table Metal Frame for Living Room/Entryway/Hallway, Rustic Brown","B097DN5MFJ","https://www.amazon.com/dp/B097DN5MFJ?psc=1","https://m.media-amazon.com/images/I/81aJDUjUc3L._AC_SX466_.jpg","Furologee",89.99,845,"76,041.55","31,380","CN",35.40,5,4.4,935,9,51,"Engriy Store","Home & Kitchen","Small Oversize","FBA","12.7x4.8x41.3",29.06,"6/17/2021"
"Convenience Concepts Oxford Console Table with Shelf, Espresso","B01CZUU8LI","https://www.amazon.com/dp/B01CZUU8LI?psc=1","https://m.media-amazon.com/images/I/71MAqF4hauL._AC_SX466_.jpg","Convenience Concepts",46.98,716,"33,637.68","19,886","AMZ",29.38,13,4.6,"8,373",8,-740,"Amazon","Home & Kitchen","Small Oversize","AMZ","15.3x6.5x42.1",29.71,"3/15/2016"
"($) LVB Industrial Console Sofa Table, Wood Metal Foyer Hallway Tables for Entryway, Wide Front Rustic Entry Way Table with Modern 3 Tier Long Open Storage Shelf for Home Living Room, Rustic Oak, 55 Inch","B09TSB53XG","https://www.amazon.com/dp/B09TSB53XG?psc=1","https://m.media-amazon.com/images/I/61sjX5CQbAL._AC_SY355_.jpg","LVB",169.97,247,"41,982.59","111,525","CN",53.86,1,4.7,158,7,13,"LVB Furniture","Home & Kitchen","Small Oversize","FBA","16.0x3.8x58.0",42.76,"3/3/2022"
"($) Ecoprsio Entryway Table with Outlets and USB Ports, Console Table with 2 Drawers, Sofa Table Narrow Long with Storage Shelves for Living Room, Couch, Hallway, Foyer, Kitchen Counter, 32'', Grey","B09P3WPWP7","https://www.amazon.com/dp/B09P3WPWP7?psc=1","https://m.media-amazon.com/images/I/715VTivNJ1L._AC_SX569_.jpg","Ecoprsio",100.18,"1,319","132,137.42","24,692","CN",37.78,3,4.6,"1,268",7,69,"Ecoprsio Store","Home & Kitchen","Small Oversize","FBA","14.9x4.9x36.5",31.45,"11/24/2021"
"($) HOSTACK Farmhouse Console Table with 2-Door Cabinet & 2 Drawers, Coffee Bar, Entryway Table with Storage Shelf, Sofa Tables Buffet Sideboard for Kitchen, Hallway, Dining, Living Room, Ash Gray","B0BKSST8JG","https://www.amazon.com/dp/B0BKSST8JG?psc=1","https://m.media-amazon.com/images/I/81OeFSiUXKL._AC_SX466_.jpg","HOSTACK",119.99,517,"62,034.83","51,619","CN","n/a",1,4.5,100,7,21,"Seleadc","Home & Kitchen","n/a","MFN","n/a","n/a","10/28/2022"
"($) Tribesigns Console Sofa Table, 70.9 inch Extra Long Console Table Behind Couch with Storage Shelves, 3-Tier Industrial Narrow Entryway Hallway Accent Table for Living Room, Rustic Brown","B0BDRW2PXR","https://www.amazon.com/dp/B0BDRW2PXR?psc=1","https://m.media-amazon.com/images/I/818uRd1gZ3L._AC_SY450_.jpg","Tribesigns",179.99,160,"28,798.40","265,355","CN","n/a",1,4.7,57,7,4,"Tribesigns-Way to Origin","Home & Kitchen","n/a","MFN","n/a","n/a","9/9/2022"
