"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"($) Furniouse 37"" W Vanity Desk, Vanity Mirror with Lights and Table Set with 5 Drawers, Vanity Set 3 Lighting Modes Brightness Adjustable for Bedroom Studio","B09Y8RHGQ9","https://www.amazon.com/dp/B09Y8RHGQ9?psc=1","https://m.media-amazon.com/images/I/91-CSUSNshL._AC_SX679_.jpg","Furniouse",199.98,"1,188","237,576.24","33,834","CN",88.53,1,4.3,173,7,13,"Furniouse Direct","Home & Kitchen","Medium Oversize","MFN","27.0x7.5x41.0",95.02,"4/19/2022"
"Rovaurx 46.7"" Makeup Vanity Table with Lighted Mirror, Large Vanity Desk with Storage Shelf & 5 Drawers, Bedroom Dressing Table, 11 LED Lights, White RSZT106W","B0BNQ437Z2","https://www.amazon.com/dp/B0BNQ437Z2?psc=1","https://m.media-amazon.com/images/I/71u7QUAwwHL._AC_SY450_.jpg","Rovaurx",229.99,503,"115,684.97","47,593","CN",89.43,1,4.5,38,7,6,"airbuyhome","Home & Kitchen","Medium Oversize","MFN","24.2x36.6x9.1",89.80,"n/a"
"ANWBROAD Makeup Vanity Desk Vanity Table Set with LED Lighted Mirror 3 Lighting Colors Adjustable 5 Storage Shelves Cushioned Stool 2 Big Drawers Dresser Desk for Girls Women White UBDT14W","B0C4YD2SKL","https://www.amazon.com/dp/B0C4YD2SKL?psc=1","https://m.media-amazon.com/images/I/71eO-3fh5iL._AC_SY355_.jpg","ANWBROAD",109.99,"n/a","n/a","156,681","CN","n/a",1,4.6,11,9,0,"ANWBROADDirect","Home & Kitchen","n/a","MFN","n/a","n/a","8/9/2022"
"SMOOL Vanity Desk with Lighted Mirror - Makeup Vanity Table with 3 Color Light Options Adjustable Brightness, Vanity with 6 Storage Shelves, 2 Large Drawers, Vanity Set for Girls Women, White 43'' L","B0BRCR6TFM","https://www.amazon.com/dp/B0BRCR6TFM?psc=1","https://m.media-amazon.com/images/I/81SJ5TMJbHL._AC_SX569_.jpg","SMOOL",155.90,550,"85,745.00","44,003","HK","n/a",1,4.1,31,9,12,"Naboba","Home & Kitchen","n/a","MFN","n/a","n/a","12/30/2022"
"VOWNER Vanity with Lights - Vanity Desk with 3 Color Lighting Options, Brightness Adjustable, Vanity Table with 5 Rotating Drawers, Shelves and Stool, Corner Vanity for Women Girls, Black 43“ L","B0BJV5DWCW","https://www.amazon.com/dp/B0BJV5DWCW?psc=1","https://m.media-amazon.com/images/I/71OQee3mLxL._AC_SX466_.jpg","VOWNER",199.90,845,"168,915.50","44,302","CN",188.48,1,4.3,265,8,29,"KPRservice store","Home & Kitchen","Special Oversize","MFN","24.4x47.3x58.6",58.60,"10/20/2022"
"Makeup Vanity Desk with Round Mirror and Lights, White Vanity Makeup Table, Small Vanity Table for Bedroom with Lots Storage, 3 Lighting Modes, 31.5in(L)","B0BN5LQ2NP","https://www.amazon.com/dp/B0BN5LQ2NP?psc=1","https://m.media-amazon.com/images/I/A1In9gsOmzL._AC_SX522_.jpg","Vabches",154.00,395,"60,830.00","36,890","CN",57.61,1,4.5,66,8,17,"Toin","Home & Kitchen","Small Oversize","MFN","18.7x36.8x8.5",60.00,"11/12/2022"
"Vanity Set Makeup Dressing Table with Sliding Mirror & 10 Light Bulbs, White Vanity Table with Drawers & Cushioned Stool for Bedroom Modern (05US)","B0C1KX2HV6","https://www.amazon.com/dp/B0C1KX2HV6?psc=1","https://m.media-amazon.com/images/I/61Mxes6pE-L._AC_SX466_.jpg","jinruis",182.99,"n/a","n/a","44,492","CN",62.16,1,"n/a",0,7,0,"Jinruis","Home & Kitchen","Medium Oversize","FBA","21.5x8.5x34.5",70.01,"4/5/2023"
"Makeup Vanity with Lighted Mirror & Outlet Charging Station, White Vanity Set Makeup Table, 3 Lighting Colors, Brightness Adjustable, 31.5in(W)","B0BS112XTQ","https://www.amazon.com/dp/B0BS112XTQ?psc=1","https://m.media-amazon.com/images/I/7198uhdEvWL._AC_SX679_.jpg","Titoni",137.99,124,"17,110.76","147,854","CN","n/a",1,4.3,37,8,0,"Betemint","Home & Kitchen","n/a","MFN","n/a","n/a","1/6/2023"
"VIAGDO Makeup Vanity with Lights, Vanity Desk with Mirror & 3 Color Lighting Modes, Vanity Table with Charging Station, Makeup Desk with Drawers and Cabinet, Storage Shelves for Women Girls","B0C466CD5H","https://www.amazon.com/dp/B0C466CD5H?psc=1","https://m.media-amazon.com/images/I/71yW55DtYNL._AC_SX466_.jpg","VIAGDO",189.99,"n/a","n/a","138,273","CN","n/a",1,3.9,13,8,2,"FORMU","Home & Kitchen","n/a","MFN","n/a","n/a","1/2/2023"
"Boahaus Serena Modern Makeup Vanity with Hollywood Lights Bulbs Add-On, 7 Drawers, Wide Hollywood Mirror, Glam Glass Top Vanity, White Vanity Makeup Desk for Bedroom (New Version 04/2023)","B09HV54PPG","https://www.amazon.com/dp/B09HV54PPG?psc=1","https://m.media-amazon.com/images/I/71b8ZCt5uwL._AC_SX466_.jpg","Boahaus",332.83,964,"320,848.12","12,366","US","n/a",3,4.1,971,9,69,"OJCommerce","Tools & Home Improvement","n/a","MFN","n/a","n/a","10/6/2021"
"($) IRONCK Vanity Desk Set with LED Lighted Mirror & Power Outlet, 7 Drawers Makeup Vanities Dressing Table with Stool, for Bedroom, White","B0BHY23N5M","https://www.amazon.com/dp/B0BHY23N5M?psc=1","https://m.media-amazon.com/images/I/712rHgptPWL._AC_SX425_.jpg","IRONCK",359.99,345,"124,196.55","59,844","CN","n/a",1,3.9,161,9,12,"IRONCK Direct","Home & Kitchen","n/a","MFN","n/a","n/a","10/12/2022"
"Makeup Vanity with Lighted Mirror & Power Outlet, White Vanity Set Vanity Desk, Clearance Makeup Vanity 3 Lighting Colors, Brightness Adjustable, 31.5in(W)","B0BQR1TWRL","https://www.amazon.com/dp/B0BQR1TWRL?psc=1","https://m.media-amazon.com/images/I/71CV0xEUjoL._AC_SX466_.jpg","Vabches",139.99,309,"43,256.91","66,283","CN","n/a",1,4.2,40,9,27,"Betemint","Home & Kitchen","n/a","MFN","n/a","n/a","12/21/2022"
"Rovaurx Makeup Vanity Table with Lighted Mirror, Makeup Vanity Desk with Storage Shelf and 4 Drawers, for Mother's Day, Bedroom Dressing Table, 10 LED Lights, White RSZT104W","B09YTTYPRC","https://www.amazon.com/dp/B09YTTYPRC?psc=1","https://m.media-amazon.com/images/I/71Td0HmeyRL._AC_SY450_.jpg","Rovaurx",199.99,546,"109,194.54","83,471","CN",80.13,1,4.3,193,8,-6,"airbuyhome","Home & Kitchen","Medium Oversize","MFN","21.5x41.3x7.5",74.80,"n/a"
"White Vanity Desk with Mirror and Lights – Makeup Vanity with Lights and Drawers. Girls Vanity Mirror with Lights Desk and Chair with drawers – Vanity Set and Bedroom Vanity Table Makeup Desk Vanities","B0BZ15D1M8","https://www.amazon.com/dp/B0BZ15D1M8?psc=1","https://m.media-amazon.com/images/I/61YMgtcgUwL._AC_SX679_.jpg","Little Homie",214.99,"n/a","n/a","39,839","CA",63.07,2,5.0,1,6,0,"itech Furniture","Home & Kitchen","Small Oversize","FBA","19.5x6.0x32.0",53.01,"4/27/2023"
