"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"($) Furniouse 37"" W Vanity Desk, Vanity Mirror with Lights and Table Set with 5 Drawers, Vanity Set 3 Lighting Modes Brightness Adjustable for Bedroom Studio","B09Y8RHGQ9","https://www.amazon.com/dp/B09Y8RHGQ9?psc=1","https://m.media-amazon.com/images/I/91-CSUSNshL._AC_SX679_.jpg","Furniouse",199.98,"1,188","237,576.24","33,834","CN",88.53,1,4.3,173,7,13,"Furniouse Direct","Home & Kitchen","Medium Oversize","MFN","27.0x7.5x41.0",95.02,"4/19/2022"
"Ameriwood Home Parsons Desk with Drawer, White , 19.7D x 39W x 30H in","B004CVKVJ8","https://www.amazon.com/dp/B004CVKVJ8?psc=1","https://m.media-amazon.com/images/I/31iqH537hoL._AC_SX466_.jpg","Ameriwood Home",48.29,"1,582","76,394.78","5,204","AMZ","n/a",3,4.2,"15,644",10,80,"Amazon","Home & Kitchen","Small Oversize","AMZ","22.1x4.5x43.7",28.40,"n/a"
"ANWBROAD Makeup Vanity Desk Vanity Table Set with LED Lighted Mirror 3 Lighting Colors Adjustable 5 Storage Shelves Cushioned Stool 2 Big Drawers Dresser Desk for Girls Women White UBDT14W","B0C4YD2SKL","https://www.amazon.com/dp/B0C4YD2SKL?psc=1","https://m.media-amazon.com/images/I/71eO-3fh5iL._AC_SY355_.jpg","ANWBROAD",109.99,"n/a","n/a","156,681","CN","n/a",1,4.6,11,9,0,"ANWBROADDirect","Home & Kitchen","n/a","MFN","n/a","n/a","8/9/2022"
"SMOOL Vanity Desk with Lighted Mirror - Makeup Vanity Table with 3 Color Light Options Adjustable Brightness, Vanity with 6 Storage Shelves, 2 Large Drawers, Vanity Set for Girls Women, Black 43'' L","B0BXCDSZNT","https://www.amazon.com/dp/B0BXCDSZNT?psc=1","https://m.media-amazon.com/images/I/81EE3hzsBRL._AC_SY450_.jpg","SMOOL",149.90,554,"83,044.60","44,003","HK","n/a",1,4.1,31,9,9,"Naboba","Home & Kitchen","n/a","MFN","n/a","n/a","3/3/2023"
"Rovaurx Makeup Vanity Table with Lighted Mirror, Makeup Vanity Desk with Storage Shelf and 4 Drawers, for Mother's Day, Bedroom Dressing Table, 10 LED Lights, White RSZT104W","B09YTTYPRC","https://www.amazon.com/dp/B09YTTYPRC?psc=1","https://m.media-amazon.com/images/I/71Td0HmeyRL._AC_SY450_.jpg","Rovaurx",199.99,546,"109,194.54","83,471","CN",80.13,1,4.3,193,8,-6,"airbuyhome","Home & Kitchen","Medium Oversize","MFN","21.5x41.3x7.5",74.80,"n/a"
"Makeup Vanity Desk with Mirror and Lights, Cute Vanity Makeup Table, Small Vanity Table for Bedroom with Lots Storage, 3 Lighting Modes, 31.5in(L)…","B0BN5MB269","https://www.amazon.com/dp/B0BN5MB269?psc=1","https://m.media-amazon.com/images/I/71eV2D4yCiL._AC_SX466_.jpg","Vabches",154.99,395,"61,221.05","36,890","CN",57.76,1,4.5,66,7,17,"Toin","Home & Kitchen","Small Oversize","MFN","18.7x36.8x8.5",60.00,"11/12/2022"
"Rovaurx Makeup Vanity with 3-Color Dimmable Lighted Mirror, Large Vanity Table with Side Storage Shelf & 4 Drawers, for Mother's Day, Bedroom Dressing Desk, Brightness Adjustable, White RSZT107W","B0BRPZ9GB7","https://www.amazon.com/dp/B0BRPZ9GB7?psc=1","https://m.media-amazon.com/images/I/71lf6LsEoqL._AC_SX425_.jpg","Rovaurx",189.99,222,"42,177.78","166,444","CN",81.15,1,4.1,20,7,7,"airbuyhome","Home & Kitchen","Medium Oversize","MFN","27.2x35.4x8.3",81.00,"n/a"
"Tiptiper Large Makeup Vanity with Lights, Vanity Table with Charging Station Vanity Desk with Mirror and 10 LED Light Bulbs, Makeup Table with with 5 Drawers, Nightstand and Storage Shelves, White","B0BFHTCLQ9","https://www.amazon.com/dp/B0BFHTCLQ9?psc=1","https://m.media-amazon.com/images/I/71NmWMd8eyL._AC_SX425_.jpg","Tiptiper",255.99,469,"120,059.31","46,539","CN",93.29,1,3.9,56,8,8,"outdoorly","Home & Kitchen","Medium Oversize","MFN","22.0x34.6x9.8",92.60,"9/16/2022"
"Tvilum Desk with 4 Drawers, White","B08B6WT2TT","https://www.amazon.com/dp/B08B6WT2TT?psc=1","https://m.media-amazon.com/images/I/7123TWOO7ZL._AC_SX466_.jpg","Tvilum",135.85,701,"95,230.85","86,669","AMZ",59.24,1,4.1,"1,237",6,31,"Amazon","Home & Kitchen","Small Oversize","AMZ","26.0x6.4x51.0",68.01,"6/15/2020"
"VOWNER Vanity Desk with Mirror and Lights - Vanity with 3 Lighting Options, Adjustable Brightness, Vanity Set with 5 Sliding Drawers, Shelves and Vanity Stool, Corner Vanity for Women Girls, Black 43""","B0B4SJBHSZ","https://www.amazon.com/dp/B0B4SJBHSZ?psc=1","https://m.media-amazon.com/images/I/71cBqYL2UjL._AC_SX679_.jpg","VOWNER",199.90,845,"168,915.50","44,302","CN","n/a",1,4.3,265,8,29,"KPRservice store","Home & Kitchen","n/a","MFN","n/a","n/a","6/22/2022"
"($) IRONCK Vanity Desk Set with LED Lighted Mirror & Power Outlet, 7 Drawers Makeup Vanities Dressing Table with Stool, for Bedroom, White","B0BHY23N5M","https://www.amazon.com/dp/B0BHY23N5M?psc=1","https://m.media-amazon.com/images/I/712rHgptPWL._AC_SX425_.jpg","IRONCK",359.99,345,"124,196.55","59,844","CN","n/a",1,3.9,161,9,12,"IRONCK Direct","Home & Kitchen","n/a","MFN","n/a","n/a","10/12/2022"
"($) GruiGevi Vanity Desk, Vanity Table Made of Solid Wood, Features Modern Sintered Marble Top, Rotatable/Removable Touch Screen HD Mirror(3-Brigntness), Vanity Set with Chair, 120cm/47in","B0C3GQ6BT6","https://www.amazon.com/dp/B0C3GQ6BT6?psc=1","https://m.media-amazon.com/images/I/81sbWVWReXL._AC_SX466_.jpg","GruiGevi",599.00,"n/a","n/a","585,062","US","n/a",1,5.0,2,7,1,"GruiGevi","Home & Kitchen","n/a","MFN","n/a","n/a","4/26/2023"
"($) VIVOHOME Makeup Vanity Table Set with 3-Color Dimmable Lighted Mirror, 6 Storage Shelves, 2 Drawers, Cushioned Stool, White","B099W8N4XK","https://www.amazon.com/dp/B099W8N4XK?psc=1","https://m.media-amazon.com/images/I/81IWDNZMKDL._AC_SX425_.jpg","VIVOHOME",249.99,100,"24,999.00","272,490","US",88.07,1,4.2,"1,255",7,12,"VIVOHOME","Home & Kitchen","Medium Oversize","FBA","26.0x5.9x46.5",81.41,"7/20/2021"
"($) IRONCK Vanity Desk with LED Lighted Mirror & Power Outlet, Makeup Table with Drawers & Cabinet,Storage Stool,for Bedroom, White","B0BRXTTVRQ","https://www.amazon.com/dp/B0BRXTTVRQ?psc=1","https://m.media-amazon.com/images/I/61gcemgxLBL._AC_SX522_.jpg","IRONCK",209.99,812,"170,511.88","48,535","CN","n/a",1,4.4,122,9,28,"IRONCK Direct","Home & Kitchen","n/a","MFN","n/a","n/a","1/9/2023"
"AODAILIHB Vanity Desk with Flip Top Mirror and Tool Set Dressing Table Makeup Desk Large Storage Capacity Work and Study Writing Table Bedroom Furniture","B08F9XVBXF","https://www.amazon.com/dp/B08F9XVBXF?psc=1","https://m.media-amazon.com/images/I/71TgaInwumL._AC_SY355_.jpg","AODAILIHB",114.99,120,"13,798.80","224,864","CN","n/a",1,4.5,581,8,174,"Ningboyiyou","Home & Kitchen","n/a","MFN","n/a","n/a","8/22/2020"
"Boahaus Serena Modern Makeup Vanity with Hollywood Lights Bulbs Add-On, 7 Drawers, Wide Hollywood Mirror, Glam Glass Top Vanity, White Vanity Makeup Desk for Bedroom (New Version 04/2023)","B09HV54PPG","https://www.amazon.com/dp/B09HV54PPG?psc=1","https://m.media-amazon.com/images/I/71b8ZCt5uwL._AC_SX466_.jpg","Boahaus",332.83,964,"320,848.12","12,366","US","n/a",3,4.1,971,9,69,"OJCommerce","Tools & Home Improvement","n/a","MFN","n/a","n/a","10/6/2021"
"VIAGDO Makeup Vanity with Lights, Vanity Desk with Mirror & 3 Color Lighting Modes, Vanity Table with Charging Station, Makeup Desk with Drawers and Cabinet, Storage Shelves for Women Girls","B0C466CD5H","https://www.amazon.com/dp/B0C466CD5H?psc=1","https://m.media-amazon.com/images/I/71yW55DtYNL._AC_SX466_.jpg","VIAGDO",189.99,"n/a","n/a","138,273","CN","n/a",1,3.9,13,8,2,"FORMU","Home & Kitchen","n/a","MFN","n/a","n/a","1/2/2023"
"Furniouse 37"" W Vanity Desk, Vanity Mirror with Lights and Table Set with 5 Drawers, Vanity Set 3 Lighting Modes Brightness Adjustable for Bedroom Studio","B09Y8RHGQ9","https://www.amazon.com/dp/B09Y8RHGQ9?psc=1","https://m.media-amazon.com/images/I/91-CSUSNshL._AC_SX679_.jpg","Furniouse",199.98,"1,188","237,576.24","33,834","CN",88.53,1,4.3,173,7,13,"Furniouse Direct","Home & Kitchen","Medium Oversize","MFN","27.0x7.5x41.0",95.02,"4/19/2022"
"($) GruiGevi Vanity Desk, Smart Makeup Vanity of Real Wood with Bluetooth Speaker, Wireless Charging Station&USB Ports, Touch Screen HD Mirror(3brightness), Assembled Vanity with Chair 47.2IN/120CM","B0C3YFR1LD","https://www.amazon.com/dp/B0C3YFR1LD?psc=1","https://m.media-amazon.com/images/I/81rFCrIwRyL._AC_SY450_.jpg","GruiGevi",628.00,"n/a","n/a","340,055","US","n/a",1,5.0,1,7,0,"GruiGevi","Home & Kitchen","n/a","MFN","n/a","n/a","4/26/2023"
"($) Catrimown Computer Desk with Drawers and Hutch, Farmhouse Home Office Desk Writing Table Wood Executive Desk Student Desk with File Drawer for Bedroom, Small Space, White","B0921RRSG4","https://www.amazon.com/dp/B0921RRSG4?psc=1","https://m.media-amazon.com/images/I/61YOeBk46lL._AC_SY450_.jpg","Catrimown",169.99,397,"67,486.03","80,689","CN","n/a",1,4.2,"1,091",7,15,"MOLESUM","Home & Kitchen","n/a","MFN","n/a","n/a","4/8/2021"
"($) AOGLLATI Makeup Vanity with Lights in 3 Colors, White Vanity Desk with Mirror and Lights, Vanity Table with Charging Station, Makeup Desk with Visible Drawers, Hidden and Open Storage Shelves","B0BJZZCMM5","https://www.amazon.com/dp/B0BJZZCMM5?psc=1","https://m.media-amazon.com/images/I/71iZD3HC8VL._AC_SY450_.jpg","AOGLLATI",229.99,385,"88,546.15","65,468","CN","n/a",1,4.0,99,7,2,"CAcaco","Home & Kitchen","n/a","MFN","n/a","n/a","10/21/2022"
"($) IRONCK Vanity Desk Set with LED Lighted Mirror & Power Outlet, Makeup Vanity Table with 4 Drawers,Storage Stool,for Bedroom, Bathroom, White","B0B9768WX1","https://www.amazon.com/dp/B0B9768WX1?psc=1","https://m.media-amazon.com/images/I/71c5daexhtL._AC_SX522_.jpg","IRONCK",169.99,"1,165","198,038.35","33,530","CN","n/a",1,4.4,479,9,74,"IRONCK Direct","Home & Kitchen","n/a","MFN","n/a","n/a","8/10/2022"
"Irontar Vanity Table, Makeup Table with Lighted Mirror, 3 Color Lighting Modes, Brightness Adjustable, Dressing Table with Metal Sliding Drawers, Bedroom Vanity Desk for Women, Girls, White WDT004W","B0BMNWFZSP","https://www.amazon.com/dp/B0BMNWFZSP?psc=1","https://m.media-amazon.com/images/I/71NeaG6RehL._AC_SY450_.jpg","Irontar",239.99,93,"22,319.07","91,659","CN","n/a",1,4.6,3,8,0,"Irontar Direct","Home & Kitchen","n/a","MFN","n/a","n/a","11/17/2022"
"SUPERJARE Vanity Desk with Drawers, 47 inch Computer Desk, Modern Simple Home Office Desks, Makeup Dressing Table for Bedroom - White and Gold","B09J7Q3VCY","https://www.amazon.com/dp/B09J7Q3VCY?psc=1","https://m.media-amazon.com/images/I/51Pdf4XR2aL._AC_SX569_.jpg","SUPERJARE",139.99,678,"94,913.22","43,544","US",50.47,3,4.4,516,7,36,"Superjare Direct","Home & Kitchen","Small Oversize","FBA","25.4x4.3x50.5",47.36,"10/12/2021"
"DWVO Vanity Desk with Mirror and Lights, Makeup Vanity with Lights and Drawers, Vanity Mirror with Lights and Table Set, 3 Color Adjustable Lighting Brightness & Power Outlet, White","B0C3BNCWL1","https://www.amazon.com/dp/B0C3BNCWL1?psc=1","https://m.media-amazon.com/images/I/81F5mDU1gsL._AC_SX466_.jpg","DWVO",195.37,"n/a","n/a","54,555","n/a",63.82,2,4.0,4,8,2,"    Secure transaction     ","Home & Kitchen","Small Oversize","MFN","6.7x18.7x35.2",59.97,"n/a"
"Tvilum Desk with 5 Drawers, White","B08B6X622L","https://www.amazon.com/dp/B08B6X622L?psc=1","https://m.media-amazon.com/images/I/717nx3CS59L._AC_SX522_.jpg","Tvilum",151.00,106,"16,006.00","87,928","AMZ",61.51,2,3.9,634,6,1,"Amazon","Home & Kitchen","Small Oversize","AMZ","21.3x4.5x49.5",67.91,"6/15/2020"
"($) Cozy Castle White Vanity Desk with Charging Station, Makeup Vanity Desk with Mirror and Lights, Vanity Table for Bedroom, Living Room","B0C2CHJJ96","https://www.amazon.com/dp/B0C2CHJJ96?psc=1","https://m.media-amazon.com/images/I/51ciiXKjhQL._AC_SX466_.jpg","Cozy Castle",129.99,"n/a","n/a","n/a","CN","n/a",1,4.6,22,8,4,"cozypshouse","Tools & Home Improvement","n/a","MFN","n/a","n/a","4/13/2023"
"($) Cyclysio Makeup Vanity, Vanity Desk with Mirror and Lights, Vanity Table with Drawers, Makeup Desk with Lights in 3 Color Options Adjustable Brightness, Dressing Table with Stool for Bedroom, Orange","B0C32PQV2L","https://www.amazon.com/dp/B0C32PQV2L?psc=1","https://m.media-amazon.com/images/I/71Khbojd-OL._AC_SX466_.jpg","Cyclysio",199.99,"n/a","n/a","650,496","CN","n/a",1,1.0,1,9,0,"Cyclysio Direct","Home & Kitchen","n/a","MFN","n/a","n/a","4/20/2023"
"($) ODK 39 inch Small Computer Desk with Drawers, Home Office Desk with Adjustable Monitor Stand, Modern Work Study Writing Table Desk, Black","B0BL8XQYCF","https://www.amazon.com/dp/B0BL8XQYCF?psc=1","https://m.media-amazon.com/images/I/710vbZXO-WL._AC_SY355_.jpg","ODK",129.99,712,"92,552.88","41,078","CN",43.93,1,4.3,53,7,11,"Casaottima Store","Home & Kitchen","Small Oversize","FBA","23.4x3.3x44.8",35.46,"11/3/2022"
"AOGLLATI Vanity Desk with Mirror and Lights in 3 Colors, Makeup Vanity with Lights and Drawers,White Vanity Table with Charging Station, Makeup Desk with Unique Separation Design (Modern-White)","B0BR9SCLVF","https://www.amazon.com/dp/B0BR9SCLVF?psc=1","https://m.media-amazon.com/images/I/71kdXMMHrSL._AC_SX466_.jpg","AOGLLATI",179.99,92,"16,559.08","115,381","CN","n/a",1,4.4,14,7,0,"CAcaco","Home & Kitchen","n/a","MFN","n/a","n/a","5/2/2023"
